Run	Condition	BioReplicate	technical_replicate	sample_name	
pcf128.mzML	normal adjacent_ffpe	18	b	PN7b	
pcf129.mzML	normal adjacent_ffpe	19	c	PN7c	
pcf130.mzML	normal adjacent_ffpe	20	d	PN7d	
pcf131.mzML	normal adjacent_ffpe	21	a	PN8a	
pcf132.mzML	normal adjacent_ffpe	22	b	PN8b	
pcf133.mzML	normal adjacent_ffpe	23	a	PN9a	
pcf134.mzML	normal adjacent_ffpe	24	b	PN9b	
pcf135.mzML	normal adjacent_ffpe	25	a	PN10a	
pcf136.mzML	normal adjacent_ffpe	26	b	PN10b	
pcf137.mzML	normal adjacent_ffpe	27	a	PN11a	
pcf138.mzML	normal adjacent_ffpe	28	b	PN11b	
pcf139.mzML	normal adjacent_ffpe	29	a	PN12a	
pcf140.mzML	normal adjacent_ffpe	30	b	PN12b	
pcf141.mzML	normal adjacent_ffpe	31	a	PN13a	
pcf142.mzML	normal adjacent_ffpe	32	b	PN13b	
pcf143.mzML	normal adjacent_ffpe	33	a	PN14a	
pcf144.mzML	normal adjacent_ffpe	34	b	PN14b	
pcf145.mzML	normal adjacent_ffpe	35	a	PN15a	
pcf146.mzML	normal adjacent_ffpe	36	b	PN15b	
pcf147.mzML	normal adjacent_ffpe	37	c	PN15c	
pcf148.mzML	normal adjacent_ffpe	38	d	PN15d	
pcf149.mzML	normal adjacent_ffpe	39	a	PN16a	
pcf150.mzML	normal adjacent_ffpe	40	b	PN16b	
pcf151.mzML	normal adjacent_ffpe	41	a	PN31a	
pcf152.mzML	normal adjacent_ffpe	42	b	PN31b	
pcf153.mzML	normal adjacent_ffpe	43	a	PN32a	
pcf154.mzML	normal adjacent_ffpe	44	b	PN32b	
pcf155.mzML	normal adjacent_ffpe	45	a	PN33a	
pcf156.mzML	normal adjacent_ffpe	46	b	PN33b	
pcf157.mzML	normal adjacent_ffpe	47	a	PN34a	
pcf158.mzML	normal adjacent_ffpe	48	b	PN34b	
pcf159.mzML	normal adjacent_ffpe	49	a	PN35a	
pcf160.mzML	normal adjacent_ffpe	50	b	PN35b	
pcf161.mzML	normal adjacent_ffpe	51	a	PN36a	
pcf162.mzML	normal adjacent_ffpe	52	b	PN36b	
pcf163.mzML	normal adjacent_ffpe	53	a	PN37a	
pcf164.mzML	normal adjacent_ffpe	54	b	PN37b	
pcf165.mzML	normal adjacent_ffpe	55	a	PN38a	
pcf166.mzML	normal adjacent_ffpe	56	b	PN38b	
pcf167.mzML	tumor_ffpe	1	a	PT1a	
pcf168.mzML	tumor_ffpe	2	b	PT1b	
pcf169.mzML	tumor_ffpe	3	a	PT2a	
pcf170.mzML	tumor_ffpe	4	b	PT2b	
pcf171.mzML	tumor_ffpe	5	c	PT2c	
pcf172.mzML	tumor_ffpe	6	d	PT2d	
pcf173.mzML	tumor_ffpe	7	e	PT2e	
pcf174.mzML	tumor_ffpe	8	f	PT2f	
pcf175.mzML	tumor_ffpe	9	g	PT2g	
pcf176.mzML	tumor_ffpe	10	a	PT3a	
pcf177.mzML	tumor_ffpe	11	b	PT3b	
pcf178.mzML	tumor_ffpe	12	a	PT4a	
pcf179.mzML	tumor_ffpe	13	b	PT4b	
pcf180.mzML	tumor_ffpe	14	a	PT5a	
pcf181.mzML	tumor_ffpe	15	b	PT5b	
pcf182.mzML	tumor_ffpe	16	a	PT6a	
pcf183.mzML	tumor_ffpe	17	b	PT6b	
pcf184.mzML	tumor_ffpe	18	a	PT7a	
pcf185.mzML	tumor_ffpe	19	b	PT7b	
pcf186.mzML	tumor_ffpe	20	c	PT7c	
pcf187.mzML	tumor_ffpe	21	d	PT7d	
pcf188.mzML	tumor_ffpe	22	a	PT8a	
pcf189.mzML	tumor_ffpe	23	b	PT8b	
pcf190.mzML	tumor_ffpe	24	a	PT9a	
pcf191.mzML	tumor_ffpe	25	b	PT9b	
pcf192.mzML	tumor_ffpe	26	a	PT10a	
pcf193.mzML	tumor_ffpe	27	b	PT10b	
pcf194.mzML	tumor_ffpe	28	a	PT11a	
pcf195.mzML	tumor_ffpe	29	b	PT11b	
pcf196.mzML	tumor_ffpe	30	a	PT12a	
pcf197.mzML	tumor_ffpe	31	b	PT12b	
pcf198.mzML	tumor_ffpe	32	a	PT13a	
pcf199.mzML	tumor_ffpe	33	b	PT13b	
pcf200.mzML	tumor_ffpe	34	a	PT14a	
pcf201.mzML	tumor_ffpe	35	b	PT14b	
pcf202.mzML	tumor_ffpe	36	a	PT15a	
pcf203.mzML	tumor_ffpe	37	b	PT15b	
pcf204.mzML	tumor_ffpe	38	c	PT15c	
pcf205.mzML	tumor_ffpe	39	d	PT15d	
pcf206.mzML	tumor_ffpe	40	a	PT16a	
pcf207.mzML	tumor_ffpe	41	b	PT16b	
pcf208.mzML	tumor_ffpe	42	a	PT31a	
pcf209.mzML	tumor_ffpe	43	b	PT31b	
pcf210.mzML	tumor_ffpe	44	a	PT32a	
pcf211.mzML	tumor_ffpe	45	b	PT32b	
pcf212.mzML	tumor_ffpe	46	a	PT33a	
pcf213.mzML	tumor_ffpe	47	b	PT33b	
pcf214.mzML	tumor_ffpe	48	a	PT34a	
pcf215.mzML	tumor_ffpe	49	b	PT34b	
pcf216.mzML	tumor_ffpe	50	c	PT34c	
pcf217.mzML	tumor_ffpe	51	a	PT35a	
pcf218.mzML	tumor_ffpe	52	b	PT35b	
pcf219.mzML	tumor_ffpe	53	a	PT36a	
pcf220.mzML	tumor_ffpe	54	b	PT36b	
pcf221.mzML	tumor_ffpe	55	a	PT37a	
pcf222.mzML	tumor_ffpe	56	b	PT37b	
pcf223.mzML	tumor_ffpe	57	a	PT38a	
pcf224.mzML	tumor_ffpe	58	b	PT38b	
