Condition	BioReplicate	Run	
CNT	Twin pair-34-B	yanliu_L130116_001_SW.mzML	
CNT	Twin pair-34-B	yanliu_L130116_009_SW.mzML	
CNT	Twin pair-35-A	yanliu_L130116_026_SW.mzML	
CNT	Twin pair-35-A	yanliu_L130104_014_SW.mzML	
CNT	Twin pair-35-B	yanliu_L130116_027_SW.mzML	
CNT	Twin pair-35-B	yanliu_L130104_015_SW.mzML	
CNT	Twin pair-36-A	yanliu_L130308_029_SW.mzML	
CNT	Twin pair-36-A	yanliu_L130220_014_SW.mzML	
CNT	Twin pair-36-B	yanliu_L130109_003_SW.mzML	
CNT	Twin pair-36-B	yanliu_L130308_002_SW.mzML	
CNT	Twin pair-37-A	yanliu_L130124_023_SW.mzML	
CNT	Twin pair-37-A	yanliu_L130109_033_SW.mzML	
CNT	Twin pair-37-B	yanliu_L130109_007_SW.mzML	
CNT	Twin pair-37-B	yanliu_L130109_034_SW.mzML	
CNT	Twin pair-38-A	yanliu_L130308_016_SW.mzML	
CNT	Twin pair-38-A	yanliu_L130308_003_SW.mzML	
CNT	Twin pair-38-B	yanliu_L130308_017_SW.mzML	
CNT	Twin pair-38-B	yanliu_L130308_006_SW.mzML	
CNT	Twin pair-39-A	yanliu_L130308_008_SW.mzML	
CNT	Twin pair-39-A	yanliu_L130220_006_SW.mzML	
CNT	Twin pair-39-B	yanliu_L130308_009_SW.mzML	
CNT	Twin pair-39-B	yanliu_L130116_006_SW.mzML	
CNT	Twin pair-40-A	yanliu_L130313_014_SW.mzML	
CNT	Twin pair-40-A	yanliu_L130109_038_SW.mzML	
CNT	Twin pair-40-B	yanliu_L130313_017_SW.mzML	
CNT	Twin pair-40-B	yanliu_L130109_039_SW.mzML	
CNT	Twin pair-41-A	yanliu_L130116_002_SW.mzML	
CNT	Twin pair-41-A	yanliu_L130211_012_SW.mzML	
CNT	Twin pair-41-B	yanliu_L130220_003_SW.mzML	
CNT	Twin pair-41-B	yanliu_L130109_027_SW.mzML	
CNT	Twin pair-42-A	yanliu_L130104_029_SW.mzML	
CNT	Twin pair-42-A	yanliu_L130124_002_SW.mzML	
CNT	Twin pair-42-B	yanliu_L130104_030_SW.mzML	
CNT	Twin pair-42-B	yanliu_L130124_012_SW.mzML	
CNT	Twin pair-43-A	yanliu_L130124_019_SW.mzML	
CNT	Twin pair-43-A	yanliu_L130116_007_SW.mzML	
CNT	Twin pair-43-A	yanliu_L130116_041_SW.mzML	
CNT	Twin pair-43-B	yanliu_L130308_020_SW.mzML	
CNT	Twin pair-43-B	yanliu_L130220_009_SW.mzML	
CNT	Twin pair-44-A	yanliu_L130313_037_SW.mzML	
CNT	Twin pair-44-A	yanliu_L130319_012_SW.mzML	
CNT	Twin pair-44-B	yanliu_L130109_022_SW.mzML	
CNT	Twin pair-44-B	yanliu_L130116_003_SW.mzML	
CNT	Twin pair-45-A	yanliu_L130211_022_SW.mzML	
CNT	Twin pair-45-A	yanliu_L130109_015_SW.mzML	
CNT	Twin pair-45-B	yanliu_L130319_001_SW.mzML	
CNT	Twin pair-45-B	yanliu_L130109_016_SW.mzML	
CNT	Twin pair-46-A	yanliu_L130109_013_SW.mzML	
CNT	Twin pair-46-A	yanliu_L130124_025_SW.mzML	
CNT	Twin pair-46-B	yanliu_L130109_014_SW.mzML	
CNT	Twin pair-46-B	yanliu_L130109_008_SW.mzML	
CNT	Twin pair-47-A	yanliu_L130308_012_SW.mzML	
CNT	Twin pair-47-A	yanliu_L130109_029_SW.mzML	
CNT	Twin pair-47-B	yanliu_L130308_013_SW.mzML	
CNT	Twin pair-47-B	yanliu_L130109_030_SW.mzML	
CNT	Twin pair-48-A	yanliu_L130313_005_SW.mzML	
CNT	Twin pair-48-A	yanliu_L130313_016_SW.mzML	
CNT	Twin pair-48-B	yanliu_L130313_006_SW.mzML	
CNT	Twin pair-48-B	yanliu_L130313_019_SW.mzML	
CNT	Twin pair-49-A	yanliu_L130313_026_SW.mzML	
CNT	Twin pair-49-A	yanliu_L130211_008_SW.mzML	
CNT	Twin pair-49-B	yanliu_L130313_029_SW.mzML	
CNT	Twin pair-49-B	yanliu_L130211_016_SW.mzML	
CNT	Twin pair-50-A	yanliu_L130211_017_SW.mzML	
