Protein	FN1	FN2	FN3	FN4	FN5	FN6	FN7	FN8	FN9	FN10	FN11	FN12	FN13	FN14	FN15	FN16	FN31	FN32	FN33	FN34	FN35	FN36	FN37	FN38	FT1	FT2	FT3	FT4	FT5	FT6	FT7	FT8	FT9	FT10	FT11	FT12	FT13	FT14	FT15	FT16	FT31	FT32	FT33	FT34	FT35	FT36	FT37	FT38	PN1	PN2	PN3	PN4	PN5	PN6	PN7	PN8	PN9	PN10	PN11	PN12	PN13	PN14	PN15	PN16	PN31	PN32	PN33	PN34	PN35	PN36	PN37	PN38	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38
Q9NYU2	11287.5	19448	23347.5	21597.5	10638	22062	18163.5	13143	14602	19193.5	20316	8734.5	17095	18858	14810	17359.5	15863.5	12648	14267.5	24641	16171	17163	11831.5	9926.5	15632	20319	23080.5	21263	20917	18964	15718	10776	12474	9970	16042	15492.5	18188.5	13067.5	21198	19983.5	22142	18476	16783.5	11341.5	16003	10293	9603.5	14458	28428	18392	25211	13643	17559.5	17213	17627	11198	21227	54669	17423.5	20819	14656	17332.5	14981.5	17112.5	19003	20085.5	6531	13301	17597.5	17070	18522	15216.5	18081.5	18871	16397.5	19228.5	18602.5	20313	11936.5	14880	9651.5	11119	7144	16249.5	16574.5	18381	13035	22870.5	14354	14879	14932	18135	13966	9342.5	14917.5	19134
Q9NZ08	25809	38150	49271.5	23109	30661.5	39354	35138	27695	35231.5	27318	41044.5	53004	42609.5	52277	37244	32122.5	29866	35021	31539	31372.5	21797	17741	30378.5	27928	28028	34322	35774.5	40567.5	36815.5	34378.5	30574.5	31141	34919	34726.5	39470.5	40624.5	46530.5	29492.5	35489.5	30601.5	34794	36642	50434.5	36004	30253.5	24437.5	31833	39745.5	32374.5	18548.5	36692	33509	25412	40184.5	22976	23435.5	15031.5	25074.5	21429	16745	31744	35647	32057	29935.5	27119.5	24439.5	26886.5	19618	24936	23594.5	22832.5	23302.5	29097	20956	15416	29224.5	27293.5	27073.5	26734	18407	26995.5	35834	25310	44394	30857.5	42611.5	22244.5	22301.5	33055	25550	26568.5	19861	27836	25476	24097.5	25934
Q9NZ45	16051.5	18721	10719.5	12781	11379	10839.5	10742.5	15408.5	26204.5	17203	28413	24214.5	27143.5	17425.5	12940.5	14885.5	32034	9237	23537	30920	14042.5	15022.5	13026.5	16027	12524	19796	12459.5	9887	13339.5	13446	15589	15427.5	14869	13778	15199	13191.5	14988	10593.5	19605.5	10659.5	28435.5	22021.5	28023.5	19875.5	13427.5	20180.5	22091.5	10092.5	11439	11429.5	8131	7488	12456.5	16809	11662.5	30941	21382.5	12651.5	15220	20357	14925.5	10105	18573.5	12267.5	26031.5	26023	20662	12956	21171.5	11324.5	10601	11999.5	14223	12954	10175.5	5804	7452	8863.5	13366	17639	16292	19567.5	16922	22227.5	17862	9621.5	16924	10363.5	27300.5	20542.5	18180	5629	20059.5	19603	13521	22999.5
Q9NZB2	5201	7189	5121.5	2390.5	2701	13978	7177.5	3340	4358.5	6697.5	3725.5	4428.5	4190.5	7138.5	7350	2956.5	10198.5	6963	5672	8995	7921.5	6163	3855	5460.5	6436.5	6154	7928.5	2299.5	18029	13013.5	4445	4511.5	5164.5	5803.5	4206	3112.5	5770	4605.5	4749	1459.5	13252	4937.5	2839	4679.5	5123	7305	5832	7976.5	15689.5	9013	29499.5	35791	26946	22790	22439	10724.5	9163	9050.5	15299	8961.5	22929.5	25587	21825	27446.5	11183	17087	13231	18844.5	16349.5	12549.5	21755	17700	32537.5	28775	28193.5	18976.5	21654.5	24751.5	12757	7417.5	8977	8533.5	7765.5	11526.5	20941.5	17887.5	23765	29784.5	10031.5	13931.5	16042.5	5710	9100	20655	12998.5	12509.5
Q9NZJ7	7790	7063	9761	5566.5	7594.5	11241.5	9416	12273.5	6173.5	6126	8788	14550	7075	14410	7310.5	11250.5	7294.5	9564.5	4949	8886	7736.5	8974.5	7814	6416	8676	9283	15515.5	9098.5	10171.5	7106	9201	14978.5	8729.5	6515	7752.5	8888.5	8047	6704	7656	10486.5	11223.5	7246	8774.5	7837.5	7998.5	13079.5	7526	5520.5	14634	8442.5	12087.5	11288	7504	12936.5	10711	5458.5	8203	9527	10699.5	13116.5	8335	8107.5	11643	12365	11195	6084.5	8348	10680	10610.5	7214	7515	9535.5	10329.5	9278	10381.5	8868.5	8005	10819	12004.5	5209	6483.5	6489	8611.5	8910.5	8813	13799	8440.5	12461	10457	11119.5	10242	7736	9357	11361.5	7941.5	9667.5
Q9NZJ9	10771.5	15942	9405	17581	15441	17617	8173	8210	13753	15024.5	15509	16897.5	10911	17946.5	14451.5	14686.5	12434	11929	12207.5	15610	16124	14822	11636	10822.5	14539.5	16734	18008	13057	24613.5	20308	15810	11345	9296	11287	8926.5	16348.5	12273.5	10943	10878	13993	23895.5	13391.5	9649	8772.5	16651	10076	17923	11538	25307.5	14199.5	18097	18014	18423	15437	17661.5	8295	14337.5	16198.5	13091.5	17042	10717	22630.5	17165	29902.5	15415	18244.5	14706	14542	18562.5	15487	17252.5	18432	16268.5	25228	15141	14859.5	16380.5	23130.5	12917	16585.5	15915	13063.5	15882	15101	16256.5	20124.5	18999	22718	14116	15180.5	14487.5	16404	15135.5	16114	23660	17376.5
Q9NZL4	13184	24701	13487.5	16997.5	8566.5	14436	18391	12300.5	15944	27223	26522	17468	25386.5	10113.5	24057	14454	1299	13121	11907.5	31148.5	20325.5	13552.5	18654.5	22664.5	1727	21390	17709.5	16399.5	24048	20463	19692	22886	19488	18573	15991.5	18724	27180	13429.5	23323	13446.5	29205	16696.5	33932.5	23348	34907.5	20168.5	19823.5	31066.5	10368	15216.5	12351	10327.5	6643	9332	12440	23265	15029.5	18086.5	21218.5	26445.5	10619.5	14012	12949	17621	18362.5	7703.5	6131	13156	12609	11368	7446	9971	18288	20035	11828	6903.5	15599	15442	18705.5	31616	7775.5	8959.5	13546.5	9979.5	8626.5	20117	14024	16774.5	23957	19576.5	23681	20177	22548.5	17329	17697.5	31819.5
Q9NZL9	10303	17989	13077.5	27027	20406	24651.5	12116.5	14591.5	17948.5	20636	16561	10261	16595.5	6728.5	22200	6843	15609	11765.5	7343.5	12455.5	11984.5	18693.5	6994	15753	15027.5	15855	10906.5	12879	19273	14280.5	9484.5	12003	9793.5	15773	12926	15529	13950.5	8548.5	16906	9507.5	18468.5	12806.5	11298	5964	7882.5	9291	12102.5	15795.5	15625.5	14527.5	13497.5	11807.5	12049.5	20664.5	15042.5	17538	10609.5	14287	20223	28877.5	16560.5	10750.5	17265	16894.5	20799	17610.5	15543	11553.5	18271.5	19123.5	13030.5	15975.5	15788	14577	11763	12744	13580	20355.5	21060.5	15774.5	10341.5	12235	14684	16185.5	11231	14682.5	10444.5	13511.5	20846.5	17364.5	16420.5	22330	13087.5	12175.5	14824.5	17819
Q9NZM1	12392	70693	26333.5	85618.5	51701	95972	13763	7655.5	126210.5	11682	16695	5343.5	236847	17239	23816.5	29669.5	134862.5	17370	26161	85938.5	9831.5	175623	8437	147925.5	46253	55492	109284	61413.5	51202.5	128441	35518	63736.5	17959	70605.5	10148	72150	5089	24089	10786.5	41327	7263.5	6003	22554	35812	192402	66759.5	95905	35048.5	33745	36682	30021	17906.5	21026.5	45476	34155	141186	46399	172872.5	90632	117894	36097.5	12800	41562	20254	43349	75417	5922	65758.5	6300.5	50426.5	7825	106374	39648.5	18625	19856.5	50780.5	20483.5	59474.5	40917	305685.5	14159	47344.5	63400	35824	9703.5	29281	14608	30322.5	149998	34353.5	63370.5	6076	227025.5	6200	43465	27621.5
Q9NZN4	97253	47363	62851.5	80151.5	58271	48842	59061.5	34886.5	39672	35761.5	56160.5	58549	60519	180992.5	33702	102875	71988	69375	79443.5	83276.5	96406	46240.5	93550	66593	77937	60723	42969.5	86148.5	49750	45516	46338.5	44196	37650	62010.5	41376.5	28850	57829	77521.5	39023	47926.5	20141	56470	52276.5	78178.5	58004	75425.5	69776.5	38138.5	61489	62800	58679.5	54366.5	46901.5	58990.5	58714.5	42142.5	55757	53517	65362	29683	60995.5	71850.5	54514.5	48922.5	68970.5	76232	78818	75300.5	77025.5	49862	66131	71024.5	62171.5	41957	50690.5	36166.5	42934	37626.5	44126	18321	33167	36815.5	52589	56725	45379	66397.5	35214	59212	21089.5	47998.5	45541.5	34696	49662.5	75929	48193.5	40969
