Protein	FN1	FN2	FN3	FN4	FN5	FN6	FN7	FN8	FN9	FN10	FN11	FN12	FN13	FN14	FN15	FN16	FN31	FN32	FN33	FN34	FN35	FN36	FN37	FN38	FT1	FT2	FT3	FT4	FT5	FT6	FT7	FT8	FT9	FT10	FT11	FT12	FT13	FT14	FT15	FT16	FT31	FT32	FT33	FT34	FT35	FT36	FT37	FT38	PN1	PN2	PN3	PN4	PN5	PN6	PN7	PN8	PN9	PN10	PN11	PN12	PN13	PN14	PN15	PN16	PN31	PN32	PN33	PN34	PN35	PN36	PN37	PN38	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38
P11142	180721	295705	104166.5	197254.5	260922	213096	182968.5	215290	213600	202723	213609.5	156447.5	230909.5	130152	317997	149845.5	155339	174223.5	116108.5	242437.5	204804	312726.5	160233	139507.5	211165	230668	288949	62349.5	334985	352677	292124.5	162670	212539.5	197156	221045.5	312415	230076.5	147262.5	334228	237749.5	455966.5	297562.5	274406.5	209266	307472	233303.5	268391	472418.5	184420	139783.5	138450.5	100714.5	134628	202308	165530	169933.5	158831.5	129810.5	204633	307942	162169	109809.5	223139	166334.5	161905	186782.5	168326	137346	149169	193221.5	107137.5	154627.5	266041	233761	191398	189504.5	199597.5	264640	340833	211131	143616.5	145288	224948.5	218858.5	134823	186396.5	178171	209627	377705	295625	275222.5	97965	226076.5	177066	182608.5	406287.5
P11171	5267	7034	5878	4526	4348.5	7322.5	4678.5	11578	8263	6235	5320.5	5689	5381	5337	7599	7772.5	5733	4209.5	6328	7022.5	4623	7386	5329.5	5715.5	8774.5	5985	8281	5962.5	7573	4584.5	6646.5	4078	7137.5	6492	7678.5	4641.5	4882.5	7178.5	8347.5	8371	6265	7151	10124.5	7818	5376.5	6618.5	5748.5	9634.5	8460	7670.5	10890	12225.5	17829.5	7934	7707.5	8064	3957.5	3197	4172.5	7396	6683.5	9933	16484.5	8222.5	1836	8952.5	4492	5843.5	5704	9025	8580.5	7979.5	3644	9311	13845	8590.5	3613.5	7382.5	5138.5	3687	5174.5	2548.5	5729	3974	4671	9557	8582.5	10422	6792.5	7966	7873	11793	10482.5	7347	5464	11524.5
P11172	20211	5727	42186	29605	24185	53259.5	3942	3672	6009	4936.5	5814	6631	6139	8425.5	7528	6988	4089	3041.5	3758.5	5134	4830.5	6566.5	2269.5	6073.5	23393.5	4750	54794	24390.5	32007	37034.5	12912.5	1920	2970	3151.5	2611.5	5054.5	3733	5053	7098	3006.5	6287.5	2285	2942	4522	3991	4514	4465	3327.5	20482.5	13244.5	46368	36118	44819.5	24270	20017	8840	9604.5	11131	8312.5	9743.5	9297	14129	9209.5	11741.5	12682	15903	11858	8882	14449	14084	11112	11675	19072	13794	48944.5	53656.5	51412.5	48347.5	16581	10969	8413	15047.5	10901.5	11494	12341	15522	11159	12840	10848.5	10735.5	13747	14543	7445.5	12833.5	8197.5	11368
P11177	14723.5	31411	30487	37032	26179	26516	21977.5	28381.5	17267.5	15703	33398	23001	22727.5	28924	27183	11874	31639	4844.5	21407.5	27427	26225.5	21704	27673	4372.5	33508.5	41934	31334.5	33642.5	24736.5	33525	30672	20436.5	37595	33729	30261	52966.5	21134	5359.5	34319.5	37008.5	5691.5	11223	15226.5	31016	15846.5	21714.5	27992.5	22166.5	38787	49516	42142.5	38353.5	36003	26412.5	34646.5	26504	61320.5	32908	31475.5	31716.5	17058.5	19031.5	5717.5	31116	19390	6351	27191.5	24564	22639.5	3687	32585	17341	33102.5	32707	42820.5	65590	70071	46693.5	22698.5	31204	25509	71561.5	26040	38759.5	27128.5	25838	5011.5	23171	24903	5006.5	25023.5	29316	21218	7403.5	34573	19841.5
P11182	11555	22790	15401	24224	25910.5	37182	21378	28876.5	49939	28646	22760.5	14926	31408.5	13922	38147	10708.5	23583.5	24289	12237.5	20140	12113	34871.5	18150	24094.5	19945.5	21147	23333	19548.5	34786.5	57922.5	20226	19313	28683.5	15702.5	16698	32203.5	30539	9059.5	58115.5	17838	48266.5	31412.5	24731.5	12641.5	53944.5	22421	39543.5	16465.5	15764.5	10535	12070	9287	6659.5	19343.5	14090	20260	13227	6104	16219.5	28781	10226.5	6979.5	20391.5	17099.5	19146.5	6697.5	17684.5	6281	8827	11172.5	7881.5	12670.5	25234.5	16574	16980.5	12993.5	15998.5	24339.5	20751	40761	9863.5	17444	13556	21633	8003	10457.5	13432.5	17649	33455.5	33603	16024.5	13879	30734.5	14799.5	12343	34140.5
P11216	184761.5	90156	137587.5	129976	87598.5	85985.5	166094	106216.5	76321.5	53742.5	31305.5	63484.5	120808	146013	81850.5	121036.5	61362	87419	105496.5	80048	121820.5	72378	181897	111426.5	149765.5	133342	50977	149173.5	111602.5	78675	137469	83299	40117.5	114094	52536.5	88806.5	93684.5	241088.5	55099	151641.5	58170.5	71118	92342.5	105432	61794.5	91517	101215.5	83420	75249	75936	86539.5	65850	68656	69646.5	86269	77056	47723	57532	85673	46706.5	62113.5	96918.5	75887	51248.5	47400	64047	101221.5	59778.5	52340	78666	89958.5	84358	78614	65365	76432.5	54032	79899	62158	52634	42754	54583	78490.5	79084	97836	74223	69159.5	52232	59343	37609.5	48509	59349	55088	44540.5	55983	52202.5	41435.5
P11217	26500.5	29010	26579.5	28405.5	33384	44524.5	31472	29369	24594.5	19770	26973.5	18999	33182.5	20812	31885	24582.5	23665	19520.5	13772.5	20606.5	21530.5	23724	20270	28721	23990	23132	14462	27295.5	32065	28356	13183	17760.5	10884.5	16332	12188.5	11084	17539.5	19115.5	20906.5	11358.5	24812	18213.5	18137	17744	23156.5	13307	24646.5	19985.5	34295	26282	28660	22137.5	26029.5	30448.5	25420	24398	14115.5	15015	21009	21159	18932	22838.5	30064	32080.5	22005	29188	26973	23157	24670	23374.5	15144.5	27108.5	23061.5	21069	21554	21001.5	26159	29986.5	21086	17316.5	9508.5	13418.5	18844	24759	15828.5	22852.5	16701	15261.5	19322	19549	16986	19864	14510.5	17189	18949	18732.5
P11233	8413	9841	8405.5	7874	10246	14333	11754.5	7230	7186	11386	8552	10120	7869	5438	11294	4232.5	8045	10352	6758	9041.5	10662.5	6779.5	11128.5	6822.5	8548.5	8570	11991	12140	9778.5	9261	11430	9320	6902.5	10221.5	9431.5	8398.5	11157.5	6108.5	10574	5125	13189.5	6612	10489	7676	8625	7148.5	9178	7404	9063	7588.5	8174	8206.5	6013	10223.5	6471	7153	6647.5	5327.5	5660	12716.5	7730	9430.5	7936	9955	11725	7060	5691.5	9732	11203	7725	10390	8409.5	9153.5	7268	5649.5	6240	5621.5	4691	12593.5	7436	5229.5	3998.5	6409.5	6450	6372	7745	5422	9050.5	8281	7561.5	9414.5	12290	7150.5	7042	7081.5	9659.5
P11274	24047	11279	23253.5	35566.5	27887	33985	13359.5	6002	12511	8035	12214	10327	11000.5	21038.5	7922.5	19135	8298	10391.5	1087	12461.5	11059.5	16343.5	17891.5	10741.5	29362.5	18768	31702.5	25447	31825	35324	14069	4380	7431.5	2059.5	7965.5	9907	3192	20250	8412.5	25779.5	17279	15158.5	11077.5	12996.5	6526	6891	16423	7554.5	36615.5	26958	38673.5	39110.5	32358	27869	25311	13493.5	20354	14597.5	17093	14628	10903	20819	12521	18076.5	18815	14609.5	12402.5	10983.5	4475	25213	10656.5	19315.5	28305	23647	50560.5	59858.5	64219	49458.5	18824.5	16681	12533.5	20283	16980	13538	13845	23168	15342	14841.5	16926	15638	15139	23472	9994	17175	22229	10311.5
P11277	13256.5	18555	15119.5	10075	22088.5	26887.5	24155	15846	17286	16004	21268	16695	21788.5	13846	15431	27202.5	27133.5	16494.5	16671	28046	15140	22019	21144.5	19517.5	40938	18309	6794.5	7844.5	10472.5	10309	31198	21204.5	25321.5	24064.5	18538	15005.5	21606	3257.5	24057.5	18528.5	9969	13890	19744	16960.5	527.5	28990	24339	11757	22399.5	14750	17572.5	13405	8882.5	18284.5	17818	18333.5	11554.5	22998	14673.5	18082.5	14761	12102.5	20247	14838	36573	9789	13525	13282.5	17424.5	13310	14386.5	14871	9741	17441	14316	5850.5	12513	31323.5	22884	11476	17553	15631.5	6532.5	13908.5	10618	18420.5	25644.5	16566.5	18070	21210	19280.5	24129	15827	13202.5	9977	10388
P11279	14997.5	39764	13406	18297	37349	71987.5	16988.5	17630.5	29442.5	35910.5	24749	23212	14268	18665.5	23622.5	14824	32694	13120.5	9215	50380	12393	12016.5	17036.5	16923.5	16125	13542	12062.5	13539	54692.5	37523.5	12488	29862.5	18365.5	15588.5	15742	62045	30994	15018	23113.5	8406.5	17072	19414.5	15775.5	11947.5	23499.5	13244.5	17894	21312	10310.5	10504	15895.5	8937.5	9574.5	9813.5	9821	29095	11168	9302.5	15760	14735.5	13975.5	9594.5	10662.5	14037.5	12984.5	39955	11586.5	11821.5	12747	10824	8345	11919.5	10622	15801	9325	12346.5	12260	13388.5	31120.5	31014.5	17743	19120	10237	11289	48319	11400	22923	25758.5	14493.5	12433.5	15705.5	18852	37090	13006	12357.5	17456
P11310	19327.5	37125	16638.5	26070	32127.5	32213	20626.5	19358	28261	22703	18363	12309.5	18075.5	19009	30782.5	15539.5	24719.5	22282.5	14141.5	12321.5	16341.5	26187	12643.5	21032.5	41948.5	30943	22451.5	19804	48413.5	37444.5	34365.5	22656.5	35584	21832	33987	28471	29694	10790	41066	34551.5	47622.5	53218.5	39214.5	13068.5	34337	22663.5	22789.5	30662.5	13436	7895	5723.5	9387	12722.5	14277.5	10917.5	12109.5	14748.5	11381	14573.5	14236	8677.5	8629	12713.5	12374	17910	11179.5	11742	4888	10871	16793.5	10600.5	10058	24836	19679	8562.5	23300	19514	24121.5	28917.5	21541	14610.5	9475.5	35334	9951	11521	9154	13897.5	19362.5	27973.5	37522.5	19668	7541	14237.5	14322	12370.5	23894
P11387	6029.5	13564	5946	7647	5216	19777.5	7523.5	16575.5	11343	21390	6021.5	9616	12125	36259	5375.5	14321.5	5474.5	6750	21923.5	6744	4668.5	22981.5	7404.5	9512.5	7003	5728	14218.5	8492	6354	6291	6599.5	9876.5	6634	6552.5	3711	7170.5	16648.5	17113	19325	48929	4386	7046.5	7832.5	16071	4511	6200.5	16436.5	7619.5	7167	4247	5993	6689	4023	5848.5	6292.5	5197.5	4144	4203	5829	7027	5773.5	3685	5061	6304.5	8058.5	10092	10112	5260.5	9795	7439	9901	8742	5707.5	4833	4407	4005.5	5108.5	6418	8815.5	3778.5	8899.5	8185	4730.5	5129.5	3984.5	5684	3572.5	6118.5	10434.5	7462.5	6481.5	10887	4327	4830.5	4168	11595.5
P11413	1795	2660	2381.5	2869	3540	5523.5	1612.5	3197.5	4674	3908.5	3977.5	2051	4324.5	1797	5105	935.5	2182	1628.5	1149	1996.5	2038	2531	2100	2360.5	2027	2244	3078	3468	4060	5356.5	2002.5	5952	2412	939.5	991	2240.5	2829	4956.5	5468	1302	2055	1122	2087	1428.5	2662	818	2038.5	2320	1954	1500	1241.5	1532.5	4273.5	2989.5	1568.5	2618	1673	1696.5	1893.5	6838	2131	1677	2440	1477	628	1076.5	1323	2017.5	1464.5	2122.5	852	1375	1432	1198	1316.5	1767.5	1473.5	1540	1805	2018.5	1166.5	1181	1799	1726.5	4061.5	2610.5	1678	2945	2963	5400	1075	669	978	1073.5	924	1964.5
P11441	7231	11629	4676.5	9118	9395	11195	7757	4686.5	6073.5	5240	4765.5	4388.5	5706.5	5807	5252	4398	5618	10883.5	18580.5	6160	10297	9197.5	4210.5	6967	8077.5	5415	5903.5	8075	13814.5	9453	8490.5	4752	7827	4863	4720.5	7620.5	7606	6291	7767.5	5245.5	11820	9617	6538	5711	8631	7151	8069.5	8161.5	7325.5	7237.5	13968	4397	6609.5	6965	5834	4224.5	4352	4994.5	5357	11268.5	5337	5005.5	6365	3836	12603	9700.5	6652	4704.5	15781.5	5591.5	3740.5	4688	10844.5	2900	3425.5	5491.5	7677.5	8282.5	11095	22198.5	11343.5	8871.5	14085.5	7690	19664.5	5920	7680.5	3289.5	11271	4420	4426	6293	6263.5	3883	2946.5	8730
P11498	22396.5	40578	44334	29140.5	49136	33197.5	29817.5	21240	8549.5	23968.5	32944.5	30999	25252.5	34454.5	25914	39734	26774.5	36207.5	21207	27629.5	34867.5	29675.5	22716	33077	34448.5	38524	22587.5	32908	36241.5	26977.5	17719	26574	28596.5	24142.5	17212	20026.5	20462	28186.5	28939	34239	23061	16160.5	30889	28110.5	27454	32776	25657	25728	16571	29827.5	21806.5	21528	30028	29269.5	24996.5	14452	21194.5	24029	21493.5	16050.5	19087	19001	23906.5	29405.5	24304	20583	28309	19102.5	22155	30792.5	19309.5	22093.5	18997	23165	29949.5	24516.5	29898.5	12323.5	22226.5	20712.5	13288	18216.5	10647	29055.5	15772.5	23946.5	19252	26740	16838.5	21501.5	24050	15082	18104.5	17021.5	13720.5	21442
P11532	5411	4963	5645	7661	5768	8061.5	6048	14386	4971.5	2901	5727	6477.5	5438	5692.5	5018	4846.5	6108	5870.5	8858.5	5132	4998	4709.5	6232.5	6938	7526.5	3636	9598	4255.5	3214.5	3865	4158	4551.5	5580	6266	3689.5	10194	4273	6679	4482.5	8802	6381.5	5211.5	5232	8442	6343.5	5489	11608	6812.5	68882.5	14858	5765.5	6727.5	4679.5	41051.5	11029.5	4469.5	10959	9241	68674	8334.5	15617	16333	7175	11063	15875.5	24501.5	13519	25354.5	12385.5	7085	12047.5	12812	4689	3200	17003.5	23529.5	13934	21197	8227	13254	4451.5	11624.5	8875.5	6373.5	9497	12913	10774	4831	4081	5673	14264	4979	6863.5	4618.5	8846	6474.5
P11586	41194.5	67498	84142.5	61192.5	35688.5	76550.5	33677.5	41258	54211.5	49581.5	55743.5	55660	49602	58050.5	55915	61255.5	60432	62988	54988	60305.5	70461.5	61808	34313.5	55968	54660.5	77882	62010.5	77602.5	88655.5	74806.5	59116	54708.5	49107	35216.5	45547	58730.5	53053	67358.5	61867.5	49994.5	68073.5	50981	68299.5	64240.5	61708	40819.5	44487.5	67735.5	36427.5	58478	43656	40304	60337.5	50205.5	49866.5	35832	38322.5	47454.5	47246.5	37636.5	28030.5	29258	49181.5	57676.5	50345	41982	38527.5	33969.5	49254.5	51139	32017	36491.5	44848	52894	61585	43920	56287.5	38194.5	61398.5	37910.5	31117.5	34327	47628.5	51141.5	35260.5	47836	30577	37725.5	54064.5	49067.5	55563	40804	36965	35010.5	30404.5	45952.5
P11678	7676.5	6011	8592.5	6095.5	6390.5	12125	4489.5	2372.5	3705.5	5414	4309.5	5199.5	4345.5	2227.5	3703	2985	2927	3657.5	2691.5	2118.5	5092	2913	2079	4735.5	6940.5	4109	11495	5017.5	5932	12740.5	5582.5	4270	2945.5	2498	1517	3909	3450	3037.5	3744.5	4235.5	5699	6025.5	2779.5	2986	1113	4363.5	2223.5	4447	4263.5	6759.5	4586	10723	4799	10371	4455.5	4016	2751	6157	4831.5	5556	2800.5	4618	4067.5	3459	4861.5	1389	3287	3091.5	2042	11318.5	2830.5	3059.5	3373	2619	9174	3840	6184.5	4853.5	4536.5	9424.5	4310.5	2147.5	4037.5	3942.5	3522	4595.5	11740.5	3735	4509.5	5460	5406	3993	1962	4177.5	1643	3142
P11717	6297	10943	9718	6432.5	17152	7140	4956	4087	5208	6251	4523	4151.5	7848	24871.5	6972.5	3057.5	4765	3089	3871.5	8504	3300.5	17956.5	5189.5	3669.5	3496.5	6958	6706	4668	25687	5736	4381	3275.5	5515.5	4547	5048.5	10857.5	11452	4296.5	3480	13145	6488	4571	5261.5	5838	9397	19981.5	1702.5	5265	7186.5	4995	18629.5	11546	11649.5	6740	5109.5	7962	10408.5	2835.5	6849	4157	3242	9327	2721	4419.5	8128.5	7716	4940	11489.5	25772.5	6080.5	7167	6599.5	4939.5	3792	41987.5	4814	18939.5	9877.5	5645	16715.5	9002	6748.5	6905.5	6937.5	8063.5	11367.5	3916.5	9230.5	4830	3794	5865.5	8230	5053.5	2486	3737.5	18183.5
P11766	56436	93630	61217.5	141173	113261	144589	77684.5	61916	107641	135151.5	108034.5	106284.5	104308.5	59804	123300	61477.5	105172.5	29492	61934	102250	75634	113840	49341	100488	69425	83218	100526.5	105552.5	164788.5	98922.5	50815.5	26355	52955.5	31317.5	62587	41112	65839	67954.5	179408.5	37495	106879	47060	49540.5	58697.5	93180.5	117681.5	69468	27386	49137.5	32157	35630	31726	38349.5	61150.5	39602.5	51378	31881	31058	38397	45258	28010.5	44540.5	58377.5	40981.5	40367	33257	18159.5	46193	40538	31061.5	31328.5	24044.5	25627	19643	34158.5	32585.5	45391	60322.5	24532	39937	19874	21347.5	38279.5	37203	26825	31921.5	34130	20077	52293.5	22513.5	33875.5	6133	41970	40532.5	14588.5	28403
P11940	15579.5	35584	20791.5	24906.5	31777.5	55965	28049	28837.5	29551.5	33850	30742	22827.5	31723.5	13869	47293	11438	29143	18797.5	10715.5	27999.5	19844	38026	20396	22145.5	27644	37444	39685	23056	43982	40512	39812.5	19924.5	18659.5	23178	25651.5	46804	30349.5	14577.5	42848.5	27793.5	64550	38076	34320	25395	36783.5	50342	26024	44729	17783.5	14674	10778	14004	15674.5	25823.5	15956	19744	16348.5	15034.5	23615.5	33627.5	15012.5	13463	28377.5	23943.5	28697.5	20297	16630.5	13909	24088	29034	12578	22181.5	27063.5	25271	20217.5	21496.5	21815	40190.5	38689	27551	17009.5	16585.5	25676.5	23353	16676.5	22162.5	20428	27171	48845.5	34802.5	32963.5	40757	28247	18297	19376	54548
P12004	16374	13922	20561.5	21023.5	17354	20968	14188	7860	6191	8439	8769.5	13259	10244.5	15595	7789	10850.5	8339.5	2540.5	3925	10569	11098	10065	7242.5	6757	20242.5	12801	22100.5	22511.5	23388	25382	13938	10899	4229	5090	2293.5	12237.5	8105	16132.5	15823	16808.5	12776	13957	7392.5	9532.5	11012.5	9115.5	6795	8716.5	21880	25459	23676	27719	21321	17736	21153.5	16765.5	24444	19552.5	21083	17236.5	13579.5	30908.5	15185.5	17359.5	14784.5	15573	17359.5	16742.5	22112	25310.5	18080.5	18489	16010.5	23452	33938.5	32513	38134	24866.5	11875.5	18324.5	15754.5	21770	20065	16744.5	10736	32431.5	22225.5	26338	17045	14951	19583	26685	14798	14952.5	15128	18450.5
P12036	33725	27686	24368.5	16344.5	30981	49132	22129	26718	37498	30496.5	33500.5	14280	26129.5	25303.5	31072	24077	24245	13284	18678	25112	22419.5	30801	19945	26378.5	23559.5	27674	31093.5	26575	29868.5	25568	31875	17971.5	21538.5	11685.5	16510.5	19415.5	15131.5	28699	18020	25049	14488.5	24820	19059	26291.5	19494.5	20432.5	18468.5	22367	23337	26479.5	26492.5	26281.5	27141.5	22204	19613	21803.5	16303.5	20525	25299	23062.5	22915	21317	28462	30533	28719	28862.5	21422.5	26305.5	21511	28584	21765	24836	19647.5	19601	42871.5	51946	42143.5	29737	28661.5	42660	18570	32897.5	22386	21448	18893.5	22143.5	18238	21999	16173.5	20638.5	29830.5	31782	16343	17828	22928	29839.5
P12074	18062.5	9940	10816.5	16690	16864.5	12379.5	9609	10786.5	9144.5	10303.5	7135.5	7764.5	11633.5	7144.5	9820	5882	14257.5	10649	3409	16294.5	10805	14815.5	4736.5	10248	20238.5	15529	16689.5	10578	19212.5	14942.5	9282.5	10955	6906	7767	10826	10330	13160.5	5938.5	8004	7925	11152	6014	11983	13996.5	11941	18936	7911	6031	5472.5	3377.5	3124	5601	4818.5	10634	4521	4855.5	3904	6526.5	8691	5274.5	2539.5	7699	7765.5	2629.5	5571	5141	3271.5	5312	4660	4657	2482.5	2920	4362.5	5030	3325	7139	3820	9560.5	6126.5	8491.5	3516	4820.5	2797	6201	2908	8144.5	3418	8362	12294	4433	9198	3909	6909	5017	3988	9954
P12081	7183.5	7961	13980	14159	11930	9230	8970.5	9201	14030.5	7407	7338.5	8314.5	7596.5	18656	7477	6969.5	7083	9401.5	5703.5	9218	6138.5	6784.5	6595	10132.5	8369	7289	7116.5	8930	9692	8682.5	8962	4920	11017.5	4419.5	8228	16889.5	9661.5	8112.5	8310	8972.5	12248	7996	10568.5	12455	10348.5	11767.5	9801.5	8578.5	5144	5146.5	7977.5	4950.5	6926	7754.5	9223.5	8297	5504	4271	7116.5	8203.5	8602	6056.5	6279.5	5185	8276	11787.5	11306.5	6935	8930.5	6006.5	10396	9587	7347.5	6423	7076.5	5094	7128.5	8006.5	8935.5	7941	10564.5	8208.5	8698	8354	8901.5	5753	9711	3313.5	10038	7638	8787	4814	9362.5	12488	5850	9472.5
P12109	131686.5	251768	295271.5	281815	124434.5	221331	379757.5	129224	173809.5	132450	219642.5	279994	158068	690515.5	130670	378822.5	203274.5	430895.5	468543	211106.5	193077	72158	214581	274670	248512.5	81941	248735.5	280475	218795.5	296728	223752	409411.5	201216.5	326421	64307.5	153197.5	177120	425846.5	265514	152689	87866.5	229725	280647.5	555867.5	113642.5	74897.5	328520	153914	327982.5	214354.5	358766.5	270503	353843	245154.5	315061.5	199446.5	303215	286853.5	216986	69804	269901.5	294849.5	301354.5	274411.5	214663	539764	476648	382584	384071.5	433633.5	329103	357357.5	356136	303524	239662.5	130106	225617.5	189089.5	262476	67502.5	275842	336054.5	264559.5	137587	263663.5	217213.5	245955.5	369488	22556.5	346393	153596.5	158511	127513.5	290474.5	141119.5	98852
P12110	126535	416575	367532.5	334315.5	140673.5	274696.5	453270	155693.5	248796.5	189654	353036.5	395324	220816.5	774619	183277.5	484413	314381	370869.5	475646	262747	234977.5	86717.5	217323.5	309746	322356.5	99666	343099	346910	237583.5	367323	299958	259670.5	344974	339914	72310.5	177981	234904	466561.5	431225.5	187372.5	144641.5	305939	395954	716347	156146.5	56202.5	355459.5	162005	479211	367988	541275	440399	527570	345349	472169.5	411419	586206	644436	456338	191177	456149	528081	538208.5	517730	356913	735168.5	386037.5	516110	532513.5	449580	527466.5	469495	480955	557468	399968	247977	312378	349841.5	399612.5	161055.5	610856	373817	571385	309028	555650	483014	507138	675244.5	44165	632345.5	308465	341143	426700	475272.5	455059	196128.5
P12111	108100	241264	266494.5	290556	101055.5	230402	332570.5	117469.5	191593.5	146759	215435.5	286009.5	162046.5	651835.5	136403	294401.5	253671.5	521771.5	555234	207056	159262.5	58264.5	165855	281981	259967	73915	286245.5	281735	204540.5	264569.5	228564.5	490807	214359	405336	46281	82999.5	165895	395185.5	275098	71253	98702	174813.5	323197.5	573541.5	113055.5	55629.5	281939.5	111161	661654.5	454557.5	679827.5	633782.5	683128	497942.5	581258.5	476464	598549	746988	554082.5	276407	658075	500548.5	481898	315276.5	630742.5	1170173.5	904300.5	843487.5	774269.5	828394.5	1003573.5	610633.5	692415.5	642278	475227.5	207128	388143.5	401729	485825.5	122154	753507.5	491072.5	477509	345826	793592.5	455177.5	546591.5	515813	53074.5	780775	381053.5	326767	196677.5	675603	645749.5	155390
P12235	11742	11724	11355	17029	9979	15887	14901.5	14418	14327.5	20234	16298	15472	16695.5	16802.5	18998.5	6632	11173.5	11773	11742	11537	12915.5	9674.5	9400	15769	17082.5	11052	15901.5	14874.5	13024	12011	16171.5	16378	10986	12804.5	9289.5	8962	11686	15142	13443	8188.5	18090	14510.5	14027.5	10402	8262	9163.5	10878.5	14102.5	8927.5	10916.5	12007.5	13153.5	7727	11555	10075.5	10950.5	7656.5	8698.5	13508.5	15719	8918.5	8934	11229	8478.5	5993	11151	7471	13239.5	10408.5	7898	6455	9320	10612	10881	20342	12960.5	11998.5	13836	9982.5	14817	8970	8390	11798.5	11496	7646	26372	9308.5	7911.5	12123.5	11911.5	10264.5	11984	5249.5	10869.5	6466.5	10912
P12236	19914	23145	29778	31052.5	21009	42305.5	13763.5	19997.5	23278.5	38166.5	22972.5	18893	26101	18212	43195	14219.5	25039	25097	9633	18915.5	12813	22683.5	11932	18378.5	38777	22905	38208	23998.5	29896	34105	60113	17328.5	32821	13183.5	12040.5	19844.5	27242.5	13858.5	30785.5	15761	98202.5	37233.5	46592.5	31141	25390.5	17931	29458	42557.5	15370.5	14805.5	10079.5	11903.5	14807	19173	14906.5	11546.5	9544	9894	14452.5	20155.5	14088	10539.5	13814.5	10604.5	17136	9932.5	10339.5	9822.5	8107.5	12939	15560	10969.5	29098	15969	18933.5	12369	18062	20062.5	23853	19602	13871	15787.5	14791	13019	14808	11063.5	15855	15434	31978	36279	20976	15480	6072	15734	11974	25380.5
P12259	19474	14661	20531	44429	8658	14685.5	10751	6948	12908.5	11586	8151	7681	13240.5	10141	13090	15869	14444.5	8251.5	25810.5	29197	12632.5	6143.5	10072.5	17901.5	16834.5	17425	10876	21742.5	13967	6509	7708.5	5634.5	6350.5	12119	12395.5	27770	12062	26194	14398.5	9687.5	9014.5	10779.5	11532	8882.5	9235.5	12235.5	7980	6309	12226.5	13789	10236.5	8315.5	13332.5	13951	11145.5	12474	5148	10808	15497.5	8365.5	4305	13567.5	10803.5	8970.5	15837.5	8688	14097.5	8444	18618	15174.5	20155.5	15830.5	5549	6688	7774.5	26108.5	11364	9709	12998	11209	9115.5	7116	8216	18258.5	14939	20126	11926.5	7024	15474	9909.5	13949	10426	13220.5	20205	10262.5	12754.5
P12268	19109	38905	21489.5	41191	23997.5	32590.5	22831.5	33601.5	39055	31987	38915.5	40526	23665	26920	36618	16041	35130.5	23539.5	20986.5	26871	21160.5	29447.5	16980	17093	32169	29726	41576	30100	32202	50588.5	26101	36308.5	23221	17866	27108	62401.5	33432	28388	37526.5	29465	31450	40085	40456.5	19733.5	9851	18196.5	22684	54259.5	18747.5	15905	17979.5	17284	14450.5	27476	31148	22628.5	17571.5	16033.5	23489	22163	12578	34752.5	22224.5	21205	29522	17262.5	15870	11890.5	20705.5	20823.5	24456	21341.5	25444	21420	19776	13702.5	19540.5	31053.5	27758	20540.5	17660	47768.5	28646	23057	27391	26800	23440	24947	28868	26462.5	27025.5	14375	11501	24049	25273	49694.5
P12270	12137	41977	25594	23013	52031.5	58045	23981	30361	49597	32485.5	39819	28408	45609.5	28441	43712.5	36196	43234.5	25110.5	27056	35567	19888	49189	32738	35760.5	25642	44250	27997	242612	54832.5	24637.5	55395.5	32278.5	13718.5	15919	26276	34785.5	39719	12088.5	49064	28310	71538	14942.5	35118.5	42930	36427	22102	48554	41154.5	22274.5	51904.5	39083	31397	21268.5	50366.5	40560	42683	32761.5	32622.5	47534	56260.5	21745	26144	44978	60398.5	31368.5	39043.5	5231.5	17433	46375.5	34095	16679.5	30613	30031.5	75130	46258.5	47843.5	35381	51310	46705	38261	15619	27710	37738	47184	32569	55202.5	32074	45842.5	72208	38845	39162.5	79735	32700	19054.5	36954	53532
P12273	16592.5	9646	19551	29302.5	23284	28821	6617.5	5411.5	9118	2905	6128	5553	6345	6133.5	5198	5316	6980	7082.5	3874	5798	3044.5	4164.5	8768.5	9782.5	19502.5	8576	26022.5	19817	27556	28813.5	14389	6092.5	5016.5	5992	4818.5	3450.5	6055.5	6145	5273.5	2794.5	5057.5	6670	10035	5562	4517	7627	3538.5	5090.5	32091.5	29742	34646	20178.5	27981.5	21919.5	19671	12863.5	15727	13732.5	14845	14194	3278.5	16667	10413	10356.5	16714.5	8742.5	7013	7964	17278.5	23315	15485	9509	24839.5	20480	39899.5	40401	32289	36503.5	14434.5	12669	5549.5	21462	13549.5	13188.5	11426.5	3790.5	13819	11646	4818	11368	15975.5	17476	6606.5	15738	10007	9747.5
