Protein	PCV1	PCV2	PCV3	PCV4	PCV5	PCV6	PCV7	PCV8	PCV9	PCV10	PCV11	PCV12	PCV13	PCV14	PCV15	PCV16	PCV17	PCV18	PCV19	PCV20	PCV21	PCV22	PCV23	PCV24	PCV25	PCV26	PCV27	PCV28	PCV29	PCV30	PCV31	PCV32	PCV33	PCV34	PCV35	PCV36	PCV37	PCV38	PCV39	PCV40	PCV41	PCV42	PCV43	PCV44	PCV45	PCV46	PCV47	PCV48	PCV49	PCV50	PCV51	PCV52	PCV53	PCV54	PCV55	PCV56	PCV57	PCV58	PCV59	PCV60
P35611	51261.02655	50845.2709	57556.2876	54483.78816	56367.63938	62548.676	56801.53237	70334.0985	62243.35486	72488.40199	86100.65948	55122.87926	45623.04527	131773.5867	69981.88041	83944.50942	73713.02201	49008.29714	49541.04744	44294.05276	44522.12485	52853.5072	46100.32467	35733.6851	36391.38413	75543.5643	54008.13254	50775.9577	47105.77257	25746.73524	71355.67404	30579.75167	52882.78108	46685.75784	50555.31723	80242.17608	53053.3237	51113.59212	58780.59869	57146.0442	40223.82464	59159.52696	58714.9943	94483.27023	74808.54657	71910.56281	85484.18059	53118.75086	53358.92746	33803.81335	50688.33495	70957.81039	65659.2179	53993.19454	63639.73671	57447.68873	46143.56949	57281.99863	70498.0592	54488.45768
P35625	175757.7378	164456.6941	174695.032	171441.5454	126363.2611	182852.9142	149557.2414	196402.1372	139188.2663	203391.7705	180093.9527	175387.3483	189822.1234	322775.0653	202598.6491	226997.2987	283370.7331	241696.9746	145846.3033	198849.4647	177342.2253	133179.7839	131268.4061	166797.0281	176837.7425	143235.1567	190818.0479	153357.5353	145747.3654	104078.1446	164545.7582	197993.912	201675.8193	144740.9623	155651.8862	171328.5753	138615.183	184917.478	209077.3187	147517.0323	91928.92213	144896.641	178997.8794	271479.545	204762.9278	244568.9639	282718.9573	264363.2695	168083.9067	192563.4825	167953.9798	176101.4989	141671.2378	187527.1659	189881.9102	187650.0032	235140.6793	201463.6129	192699.2085	182869.2242
P35637	122956.5675	83285.90817	109130.8909	112952.8666	100967.424	122189.9696	107626.0146	100977.2537	91931.52599	124396.7652	109291.476	105858.5316	76865.09805	174687.1081	126269.6523	126125.9401	107965.8212	85104.0838	138100.3033	111779.6807	163998.319	167943.2894	124790.8787	127835.0618	111590.2572	127494.7556	167744.5613	103242.3012	116296.3408	117616.2887	141716.1259	75483.28412	111198.777	100489.8897	119967.9381	109509.4874	95198.47727	101331.0097	101728.8742	110074.3953	65177.55027	95528.93339	103171.9533	132265.7439	131181.6526	119824.986	123763.6278	90041.77068	129193.172	109039.0542	186726.9803	183587.6143	157646.2341	137083.0311	147883.1585	152136.584	124155.0364	124373.624	127667.1645	164023.5633
P35658	66078.75171	50233.39485	89275.84565	49842.72348	45022.84548	94396.00388	62562.31811	77612.83493	59525.20414	51262.41374	60895.47005	62282.48988	61061.36414	61620.27796	66353.86663	44596.37759	71930.58145	58899.91849	66561.46376	82842.84381	141922.6035	90665.83034	50630.70941	79495.37108	50274.15977	103001.5536	112697.0722	55006.72425	71181.88941	36477.3623	42080.93852	56810.99716	81257.38634	70318.69093	56766.70098	77304.87473	59841.45691	50797.09786	56917.80721	43781.33932	26581.19579	40375.20235	75240.40241	60764.0323	51446.16113	56910.392	50069.70467	48987.89823	90745.96525	69232.99853	55489.2367	74475.09836	94971.3837	51298.04063	95291.97981	95624.80059	64988.16053	49591.86568	58815.76896	60534.02482
P35659	338249.9325	296853.1418	302188.0544	403564.0976	405528.7187	515864.0489	373782.5861	423730.2874	282805.7395	429919.3616	417694.4066	396803.363	392194.984	500158.5994	411213.1626	302443.1415	396226.2973	300494.1013	428321.7501	409795.5529	388148.8226	385674.1042	317641.2178	400780.7141	324216.5177	378590.0286	422472.6384	274455.3702	325023.2355	351179.5428	336192.5011	341900.0708	397362.1959	413250.2125	436427.0253	323263.9282	268943.8583	376164.5177	364525.2589	324097.0088	188010.7956	308081.4006	436215.139	424620.8692	487277.577	371827.5003	359643.1257	385892.6474	334400.5531	379822.5401	438368.92	390030.7606	361437.8154	441656.512	389398.4478	466800.4189	387496.114	385115.7707	408153.5924	430857.9828
P35749	362093.3519	621724.1974	448220.3927	311897.8486	402740.6859	377839.7678	892033.2287	1859427.794	1194422.914	982854.2771	1203726.752	1092653.64	982722.8954	444725.8259	1058468.988	357638.6326	447437.5233	677723.1179	385974.3857	1024543.762	432731.7905	276570.1534	291846.276	510930.6214	575373.8758	481750.1941	1095766.861	570778.2336	578356.4982	333815.3587	365196.8038	624685.4766	443184.5392	299758.1135	480554.2268	328817.2794	553789.7136	1366533.321	1105866.276	665068.4678	464670.8971	777064.0271	1021076.761	366005.2752	866674.8639	387061.4838	451649.7837	672105.3899	352314.6376	986267.6497	419430.4175	328355.2561	367839.069	487199.9103	629773.845	566256.0859	890549.5222	642262.7919	593733.1484	474960.0877
P35900	713801.3716	1183081.218	1141291.206	969711.6805	870503.6983	908400.5531	1108167.554	1174889.594	1121258.884	1085878.889	1030637.778	1018128.36	1059621.271	689862.5857	1046833.927	502649.8449	717311.9142	945793.1361	677388.5709	1037361.766	744406.4321	606054.2031	599433.6943	819416.7018	927230.6533	809252.1421	1142688.282	783828.9458	911750.1878	667160.0319	626472.7591	1125923.81	1100624.326	848242.8912	951016.2797	776101.0192	941007.5757	1118836.837	1001124.437	836773.8824	643565.8	928285.0696	1193909.438	577184.8829	1062510.201	548663.0487	775139.6295	985107.703	643035.2425	1200693.729	732622.14	648461.0753	733362.9708	860921.1192	940533.2831	870768.5644	1068673.52	970430.2702	1017632.756	931289.19
P35908	252417.3077	347029.0648	373755.7711	343738.2494	286716.4772	345857.5855	423617.6415	436591.3853	333099.3143	306377.6706	336674.7535	280347.115	323700.5226	411656.2329	438141.0876	288889.3156	323375.7585	238743.7926	333791.674	453268.8144	326914.0961	256623.8177	293874.5592	329869.3425	322958.2811	315247.6276	458707.1837	287932.2007	312172.7602	302745.2261	243672.8186	335505.8006	350417.7113	383450.4457	325587.1909	241796.5778	378071.9912	369811.3418	383704.0677	233744.445	172261.3754	322213.466	295182.1035	320504.102	398853.168	321646.5645	312004.1972	330539.1138	349367.2389	437246.0568	351570.4531	320264.875	416267.4972	375992.7617	370269.4494	383640.935	404322.008	360738.7183	365287.123	408157.6502
P35914	88566.56111	85246.39814	100110.3309	129811.1962	128330.9517	182639.5133	102197.8703	99472.07085	54825.67691	102398.7413	102596.1034	85222.843	66654.16359	143300.2924	95556.0829	90812.95149	86526.02375	68252.02314	121486.7647	80494.60456	134955.4034	121576.1272	91183.05618	110182.7566	89882.87014	99798.22794	101542.4486	109559.8201	98061.65229	87684.55955	76683.78619	63753.5155	103014.1432	151222.9039	143295.2857	142926.4222	65925.31111	53718.87909	89614.8422	79750.76508	35754.76413	68373.69438	70403.47939	113386.8058	102516.7441	106564.9804	115881.3399	80233.75564	128353.2491	66567.14704	144047.3109	141410.4994	119232.7178	103701.4724	115183.8828	129810.261	121480.5899	120194.8055	99066.1156	124915.5763
P35998	312528.2717	206202.3386	435514.9827	378480.514	255397.4417	596950.9226	333581.6508	420025.6047	280795.0948	329504.7884	429982.8448	418158.2023	165519.6503	588302.1279	367200.1389	335544.8054	333451.7905	191177.5446	634977.7225	321961.927	713378.6238	554220.1396	393180.3951	473499.5855	372186.7271	472312.5282	591975.624	416567.9642	514399.416	392687.1894	225442.5299	221700.3636	365088.4555	368301.4749	270442.422	357214.0807	229766.0576	178462.8011	226471.4939	252862.3634	98837.08757	216830.2683	173694.5643	357817.1374	210252.5671	235301.19	241013.8576	190391.5351	495666.1152	285593.5986	638051.2878	559480.3695	530654.9165	366727.0151	460765.879	528524.7599	399874.8043	401080.3364	452229.9517	507302.1228
P36222	259211.3473	200929.2743	232202.9151	424499.0677	200978.4472	340079.9994	421622.1427	392518.8496	161509.873	167373.7766	309245.5001	394749.144	158119.1313	440217.7611	395282.3218	338568.1786	358010.2001	250883.8751	663735.0208	486966.9757	562355.2147	300066.0725	523863.6342	418502.6	339468.036	332791.2413	479147.4263	364132.7106	322661.2855	357831.4687	171509.7696	166841.0265	213291.6883	339393.7675	190518.3177	213862.5434	312846.1102	170020.9374	238964.236	129703.6734	91290.21133	208993.9201	146508.349	322963.5975	269565.5911	260557.538	244592.6831	200878.9865	558225.1764	422286.2583	463116.8642	269534.4593	289587.5185	329621.7231	336816.0325	324051.1282	372446.8809	345851.3674	305450.7396	508126.6545
P36269	139920.8142	185839.9233	169051.5375	185928.1431	155382.2797	217786.0236	177835.683	165812.7259	211082.4484	161641.5664	195540.2023	140498.1794	136217.8621	210223.2658	175568.6547	141049.6939	154470.487	151582.4003	142411.2893	150094.0287	158624.5451	133579.9811	135649.6897	184059.243	177966.8865	156111.5513	218510.8463	164346.8279	224711.6983	134624.2143	134456.9738	192162.4736	146703.0433	158558.9792	204927.8341	167054.8458	153643.0858	257802.2155	188998.5265	229597.9533	119392.0976	161524.1007	140792.8284	165850.1326	205119.9761	152838.4924	183130.2507	146870.0291	141292.488	136024.6149	184218.0496	149773.0957	179187.6169	175945.676	161503.1413	207007.9695	160349.5929	199059.8174	171914.1326	195511.2776
P36507	106175.3393	86350.82854	91765.52278	112226.7494	89450.8632	134103.2939	99221.73314	108634.3058	108609.0079	112820.1718	109546.2441	86413.5655	79283.35583	114155.1595	182445.8034	118773.0271	131674.4445	79558.2691	132706.9969	119814.7772	121276.5164	95590.73447	75630.95548	90808.22935	107077.6465	95173.64766	122388.7609	102127.9127	92501.91939	56109.7029	101847.4199	85200.00884	50560.78174	104205.9505	131822.77	113351.169	110607.9494	110289.798	127659.9595	58918.23747	52766.98514	86690.18266	93717.07841	152029.116	149260.9929	139816.112	110884.2107	125010.0489	113234.0305	117794.7295	101838.3023	131546.9199	115401.9118	80528.64096	100126.893	122954.3398	99807.97613	120692.7231	83956.26591	119622.5221
P36542	132739.5702	77058.23819	133095.9601	144189.8139	127035.9703	180625.349	116253.8667	121547.2563	85668.81999	140203.4284	155434.8438	129211.0115	83080.74746	183046.2486	123537.4828	115330.8169	116626.2235	73798.61451	183356.5025	107244.8056	205499.1214	180808.6456	150819.3755	155479.9099	126350.1545	155274.6477	158025.1343	125529.9284	146127.1675	123281.3977	122400.7421	78324.63755	142099.1343	141154.3177	154011.1496	162153.2495	93148.32482	95509.33068	104251.8019	120288.1933	65361.71342	91264.3449	92002.82307	152114.5188	130154.3788	111049.9446	99581.57849	88957.31158	160322.6209	120981.4563	215141.1264	195154.3797	184248.3812	140941.3802	146465.6643	181451.3486	144895.0733	142231.4046	163204.5195	185471.1792
P36543	426353.6324	523446.6133	556330.7794	624871.255	547023.302	640751.4098	394979.1342	528697.2136	426796.2517	642169.5699	197506.6847	321688.304	529946.54	629662.1009	655076.3616	390716.6315	440443.0706	394296.7389	446463.2862	525881.0096	477851.2797	397350.7111	352078.288	479483.6851	467539.6175	558415.5403	630861.8392	377697.3706	492211.7911	390759.8215	406392.5845	131447.4989	622298.3759	593298.7317	675967.7676	564648.488	350867.7991	446608.2879	413789.1062	446672.076	221182.5088	584515.8059	497470.9961	501431.5893	665948.44	439514.2083	500214.1928	438765.1001	456827.6957	601179.0842	535694.6782	465667.7777	515274.4025	535869.4234	494810.5614	626402.499	571680.851	497115.3051	525381.6943	681311.8735
P36578	307149.9683	173525.8495	216217.5085	298612.7738	272292.3804	365858.6075	248830.0132	277420.0441	226134.6454	260470.2018	246597.247	259236.5105	213287.6104	317950.4268	301961.1092	255676.968	280129.0547	198639.2062	271568.3739	186654.5273	342539.5318	252578.6138	234000.119	240573.9227	200785.5653	258911.6713	281806.5543	199909.9514	233697.5125	182558.4874	262453.6076	160808.9943	218868.4508	337387.0306	326400.0645	284130.1387	190166.3804	214854.8101	219368.1011	211714.5194	116881.2268	185634.8443	263999.2541	241496.1694	270990.7102	271873.2484	255634.8124	205896.0435	283012.7527	207972.2026	340513.3024	295448.761	284231.8333	235811.3265	259703.3918	280803.9658	249056.2174	244800.0629	277089.9031	289365.2806
P36776	127230.7359	115148.1444	231690.1788	208665.4398	147549.712	208416.361	194180.3433	155877.915	118523.2336	203957.6813	226252.6764	173925.7379	132112.272	218011.4559	222009.4044	152737.8357	139120.0322	144327.9742	327354.8551	130851.6947	380599.3996	250130.415	269130.7609	220080.3954	156444.1116	198250.5352	266728.7826	175541.8127	203409.0441	165309.2604	123704.4934	104481.9234	155589.7647	110684.6776	131390.9978	150569.141	139408.882	112647.4886	128192.0943	167350.0847	87363.09779	118744.5543	105442.9407	179662.1176	168430.6982	130335.493	159564.3663	107377.638	268804.8829	141697.382	381105.9869	278924.7239	319040.1933	192623.3701	212921.0256	194955.3393	204877.5908	183917.6643	179692.6122	245252.6292
P36871	106825.583	172238.592	197696.8886	152322.4198	134210.998	195558.4896	140703.4317	173288.9272	130896.2202	124498.7882	136887.0153	137290.4846	157392.3058	156606.8647	145699.4545	88015.20844	109538.7499	103328.9841	126396.7186	177470.5921	143148.8474	119432.6753	89920.23441	127606.9819	135679.0355	108435.5515	194799.5809	120595.0813	130745.9668	88213.18982	96387.22273	143990.0669	162066.9596	148874.5195	139188.204	152248.7451	102660.4358	118819.224	113817.6386	91759.72129	57189.20545	87398.78446	153541.8659	115180.3007	125164.5893	94980.31359	106286.5423	96221.9713	116282.1639	165246.7168	127666.446	130280.2682	112737.8822	123901.9778	139977.0734	128798.1084	143913.1665	121374.6476	133796.1729	134935.7743
P36952	217573.2777	111884.7348	195643.9176	198354.9054	148295.3387	238869.0394	185657.9718	198802.7784	147178.4553	179668.7396	170392.9693	155447.2142	116914.4467	374186.9884	265195.1422	217768.799	201998.1955	147540.0568	282339.9873	136846.0504	303686.9415	315758.3644	203055.9788	208726.7755	210157.0819	247128.4643	237346.2279	204412.2938	237612.8273	178672.6449	175331.9718	152476.5555	191176.46	204448.3687	230564.7868	206597.3424	160614.2577	147063.5192	158240.8354	128436.2119	92217.7208	111285.035	106369.9123	318441.4346	258430.7512	198074.0083	201933.2361	98630.61043	227749.4118	183130.3477	305702.0943	327878.5031	246336.1909	176339.0314	231043.2201	280443.7925	198516.5422	181859.0549	225036.4312	233785.3103
P36955	206947.2645	225469.612	202839.3587	167546.1253	130727.0865	133931.1906	212645.816	206380.1105	188606.3645	220906.3056	198219.8128	176359.3905	198309.3346	277503.8613	253441.8245	208873.2553	246152.3103	242290.8224	148778.163	168678.4332	158249.2621	140551.0913	121885.545	144259.8166	136907.8014	149071.5909	179576.0293	118013.0901	151660.8975	105991.0303	183539.8481	237071.671	213355.1197	171746.0186	161547.9142	156775.9793	178755.4085	166551.1708	213642.019	160484.5972	94017.21591	151813.4092	203047.2558	233933.2844	228374.1126	210279.5969	257581.2288	223293.432	158450.2094	158233.9453	169207.9804	171966.5224	151421.829	151690.3385	171074.0251	184779.0603	177467.3447	172428.5466	197284.3928	167279.9949
P36957	142496.3813	115042.2179	173268.4135	176940.7927	163693.9601	234277.8195	129481.646	159648.9192	98045.30124	147215.3641	148315.3824	131698.3715	110889.8721	207759.2236	154794.7947	128995.1736	127603.3728	108234.4389	181497.6712	137249.3649	197616.5134	177459.8632	136672.2766	182403.9175	136118.6725	156809.8987	194954.4971	136684.6941	173555.8951	116146.5575	129344.4086	117431.4776	184083.1627	161393.3211	204947.0042	190477.0664	117727.535	128502.8749	125466.3683	120992.1454	65102.80944	110716.435	120725.3228	175557.8618	158377.9461	149536.1007	149136.7624	111659.1846	158070.464	149119.4776	187388.4631	178262.3532	177459.5023	175675.5963	162365.5312	193569.6417	163501.4727	158892.7787	167527.7848	183591.5078
P36959	17424.69414	16660.63997	33448.88762	33826.47327	22902.99018	47806.5187	23507.03096	22380.95374	16461.77121	24989.69119	35322.48747	22077.03963	17782.53157	28614.71008	23438.6092	18836.25143	23197.59743	16803.74217	35666.98051	26559.51325	45300.07573	36730.08	23088.52634	34295.95537	22294.94514	24471.19287	35938.20988	18290.45688	22353.0313	28254.98638	17392.46954	12616.28898	18920.00814	31603.96803	30534.70947	36320.76891	10804.17136	19089.77449	21170.43598	24048.58478	11793.23213	12766.42657	12926.24191	24706.90998	18479.66693	22317.00958	15435.66966	17973.89294	25701.12922	16069.94465	40329.57034	28373.26054	26439.17733	27641.44615	27141.40036	30380.13239	23438.65837	24870.96744	26797.61743	28032.51701
P36969	933389.6124	522551.9423	673716.1111	485738.0178	397468.1741	562432.6013	382117.8612	443261.3479	514581.3074	501191.1215	486831.244	611576.0299	698452.0386	850991.6104	804046.1511	658580.2076	670590.8066	714463.339	431257.2723	429908.9188	413674.2183	373151.9302	339603.9017	479929.8969	447963.6008	442551.5952	598908.4147	441837.6192	460098.5527	336676.7676	745841.5146	460775.3447	508465.438	457306.3043	492196.1103	531301.8759	406276.8369	508419.9758	531335.2895	401584.8991	259314.791	345881.4637	371915.4266	692463.9328	642958.4833	600519.582	660921.8368	624176.4342	424725.6586	497843.5925	524058.0419	447177.0941	505732.3496	489872.8776	580133.6651	536057.4192	591406.2835	539713.5481	537724.7258	599377.5559
P37108	101975.4288	58119.53729	166364.5139	212545.1049	135349.4873	249037.0567	158290.4536	110969.6888	47843.48707	93723.01385	122370.988	102163.2298	38304.28556	219999.0384	98883.23598	79258.71433	126207.2444	39366.92352	173039.5348	73225.39279	210767.934	137197.1976	138224.7598	127615.1738	92780.42191	201906.4011	198114.7502	87151.96087	110802.8236	86702.62217	68651.45526	54854.94661	98974.12093	95784.10859	92125.37018	109884.6852	106792.6532	35595.45507	60777.88321	110895.9131	52571.02199	61875.6811	42469.48702	106076.9939	77561.90135	71141.73205	59806.52228	59386.60132	158938.1139	73992.21591	230841.3743	221625.2896	176533.3081	117010.4563	110599.8345	142546.5668	111622.9681	93576.18106	118797.3691	239329.8796
P37268	302738.7148	236905.6912	334885.4938	462989.9921	265588.901	477563.4514	380326.9491	361106.7961	326410.0156	366063.1233	321459.0948	392807.973	293026.471	553950.7079	550328.6865	351017.0701	439712.5649	329578.4203	442304.1739	466211.3541	425876.2192	394995.8531	434355.4613	332738.4717	338139.0911	320753.0475	414482.0556	337801.7031	297229.0567	336782.8619	381608.0225	305920.9024	431044.1089	500531.1961	299521.4243	319035.3329	337565.501	324185.7349	427060.742	301862.1549	229431.896	343824.4062	375976.628	413777.6689	356002.4557	418871.4997	383481.6322	335137.157	461288.2347	490882.5093	421912.3312	377091.6614	512650.6957	429532.8499	389100.2882	380613.0683	448000.7111	380944.3963	386006.0499	488792.7123
P37802	367921.2551	508227.9685	542828.4872	471793.0905	348898.0397	458027.2905	307871.4048	334302.0169	271781.4287	343384.1509	299326.9051	306069.5496	343306.4505	569559.6516	462588.4725	394603.3335	492387.0315	382828.0707	363526.0016	296305.0218	391696.8429	303213.2293	291838.4194	358724.3389	298020.9306	360387.8071	452229.6901	278010.5352	386889.5735	328704.2986	334085.4106	449545.3037	499114.6602	395487.7566	389927.0072	356257.0457	247951.4866	217645.007	280806.703	244095.9261	122898.9725	244980.5287	317646.8946	426961.7289	414527.4661	433950.1256	478796.0411	360795.0625	316777.4703	295500.1626	366527.3083	321699.3778	352389.889	311763.7468	332186.5391	423452.7112	372619.6999	303456.4485	402714.039	442132.1543
P37837	312589.5732	227121.132	374044.8891	450988.3605	419038.6814	588219.9948	333157.4687	331915.6811	221962.183	448240.639	429898.8186	380615.1262	187838.3093	515443.2458	358740.5648	320200.0892	360761.5568	199024.5665	609569.6784	314745.3833	632145.5256	619308.5468	461633.278	498626.6062	453664.0198	536289.8283	559702.0675	420365.2219	510343.1488	421934.3287	258436.5813	201585.3246	335266.2155	447408.1596	381559.3989	393363.9194	303250.6214	244547.9212	229821.3861	357350.6092	185823.0126	276237.5218	168055.7555	386315.1045	276121.3707	322112.4592	303564.6827	169358.1478	439940.3876	310248.8519	629695.6418	611852.2484	532169.9023	455854.5179	488774.4583	580173.7155	419439.6938	477962.7855	493373.0779	551970.1622
P37840	528683.2499	412449.3389	389092.2468	338129.4324	314849.4009	422554.8528	411120.6394	479883.9444	395463.6598	411099.5104	478971.3478	333177.4876	340778.7498	606090.4417	497125.3409	433002.0501	516143.3786	456017.5202	350872.4645	412246.6624	379557.4573	338685.4653	289205.5097	347860.8742	359337.3665	346693.8176	453519.8384	307892.5903	334976.3604	243052.3921	544003.84	456091.3341	458427.4706	364333.0003	393089.5886	331886.6318	316132.9004	445567.5671	422452.6644	323586.5079	206939.5155	345741.8785	408816.5333	603076.5478	551424.0528	539605.3626	597505.1893	534069.9064	337902.5832	455920.2931	387027.3208	353744.578	382355.153	368828.9332	436958.7389	438948.5399	482007.6524	401845.4841	402412.4729	432615.2199
P38117	163157.6632	109151.3442	169596.3083	220865.1495	189402.7826	244909.754	144520.6973	155336.0574	126105.37	215641.1984	209123.9432	160028.9829	123998.5765	254494.3146	198526.5702	151787.6152	154587.7791	111415.9734	206207.4779	134996.1637	249741.433	201923.4402	153893.4885	177334.4173	148014.8981	182100.5248	210062.9973	156190.4659	176951.6071	145354.3551	144700.581	132928.21	178903.8026	198665.0395	211474.9121	211079.6002	120317.8076	130444.691	139379.5043	175885.1641	87619.80001	146314.2745	136535.5219	205057.7009	188238.0768	171046.3737	171230.7311	134214.1009	187741.6562	150802.8543	265999.0972	235469.2387	213499.3737	181499.4231	185077.0129	247277.2983	194932.1466	199093.6193	209348.7647	234996.049
P38432	183672.5	163513.5329	201455.2138	233742.557	180101.7373	246288.0036	252475.4325	330132.1941	214987.5582	173954.5765	231222.2784	231444.8898	167945.6188	286623.8636	259940.6999	200389.1295	175074.6582	155509.5421	360690.0908	219908.9917	400749.249	246969.8839	331334.3591	253251.6598	199293.7268	162560.1517	327846.5126	205491.2243	236310.4065	182455.1033	137930.7519	157780.081	200617.4393	244067.9969	212907.549	196095.7113	181224.467	166650.5701	178534.2458	130994.7131	75966.60392	153103.4017	239017.8618	217839.211	227589.8934	185878.7233	181555.9716	168135.6513	329251.6033	209882.0684	471489.8966	289491.5654	389067.7401	246096.4516	256360.0778	321932.9212	223816.1145	232891.5515	269667.9561	343877.0934
P38435	102262.0634	131343.5631	130876.3291	123486.4335	108596.3553	173813.1229	108952.8238	210406.3754	97348.05763	141126.0634	153797.4171	121148.8073	182734.2836	192017.5895	170324.9655	147423.1137	144120.4728	131319.059	136206.1166	88676.16709	149943.2974	138494.1164	125607.0765	119624.3663	137004.3903	133471.5372	168929.1679	115433.1259	109649.8227	106728.9326	86327.37158	66114.84067	149690.9687	125402.6632	120836.5084	101485.7174	119549.0453	86843.11428	98280.67264	86241.42668	49076.01789	97366.19059	197353.2785	147914.6002	147981.1159	117140.4586	111087.3238	115638.8855	129604.5914	131508.7873	143104.3977	188969.4804	133256.4694	126202.853	178893.0434	164415.2767	159867.2515	146947.635	156271.2509	165627.8535
P38606	55224.36496	45784.28937	94457.19116	101954.3583	82082.69228	134556.4781	88377.52524	88980.45749	66007.56923	83604.49386	101028.0611	90271.98512	56609.50259	116993.1553	99514.05464	97829.09003	102371.8448	50024.5698	154346.209	97107.30458	178751.9172	113852.5715	96772.45832	105170.286	81553.78158	99967.71788	130789.1861	91253.23375	110653.504	85921.47593	51495.68414	50272.20078	92548.43867	77614.53971	87721.59938	94862.45783	62673.39724	49209.80754	73568.0966	70537.80083	31275.8571	53482.81371	51157.31983	92102.90625	60589.18093	65308.764	64528.05843	51097.76636	129390.2395	123787.6641	165522.2057	136805.1986	128275.3001	111546.2126	103056.2538	108118.4923	115586.6827	100137.3117	109699.814	131517.2017
P38646	183136.4252	138862.4355	217421.4474	387884.0115	382580.0924	545855.1428	170678.2968	204492.2581	150184.008	244364.5741	245749.0424	197825.1508	149219.2344	334426.4346	202425.4841	192184.3932	219026.0641	139740.2429	355014.5438	215143.719	420484.7281	343702.808	266927.9318	291586.5378	251065.7968	304205.7005	321018.1989	252330.6257	294304.6033	209048.9588	180178.9134	112616.4445	221235.8476	348434.8713	444806.1956	457559.248	148176.5691	152042.7913	164073.0659	183096.4229	107472.2898	152969.2561	131821.4394	255815.3058	198529.2671	206325.7646	195779.8426	158605.8444	323364.2879	219915.226	419985.0144	396120.4358	348836.5154	288374.3439	258481.1179	370869.0651	285286.2074	295069.4451	308626.4704	342782.6628
P38919	208583.4293	204392.1578	215955.5572	308406.2465	234924.2286	305082.5384	275311.8394	276075.7251	218047.5009	245556.7905	258669.4502	230310.4317	197099.8037	356998.9299	361981.7515	222346.631	269027.3807	177436.8214	311172.7278	253808.5778	320543.7379	302011.3877	262377.1874	254155.103	230166.3642	258170.5185	315445.3399	214484.7891	254558.7234	236200.2861	243758.0095	194267.8254	276141.5895	275020.6087	297200.2593	270559.2283	211972.9042	267232.3538	244110.0139	215322.6152	145613.0055	217882.0643	162445.7141	300950.5507	278521.188	269163.3625	292724.8543	272069.804	282863.836	242500.9068	354587.7846	340554.4658	289927.3201	294434.8044	262315.4832	356084.0643	284233.8825	261497.8279	299662.0718	343153.104
P39019	277479.4606	265477.2328	275593.3263	374390.5414	349957.8863	419898.1596	257888.3777	291017.0208	226698.9081	291967.4473	261365.4373	250485.5021	183030.3629	398089.3561	347162.3065	255575.9078	290524.7265	234797.8459	332110.1859	231307.8501	395819.8962	330291.3603	281108.8524	339826.0619	284761.7693	321418.6159	339869.3441	238750.2485	294603.7766	264546.6176	236747.2849	211500.7299	257163.815	341690.9827	349996.1421	312439.7875	221832.3673	231461.4202	228533.4647	219020.0053	138982.2292	204040.4044	252026.7136	292360.9151	258782.8884	277079.4535	259802.1214	216992.2543	299885.3458	243871.713	361454.2483	359427.0425	334365.5005	293508.1069	263337.8955	327028.2821	274092.8679	279258.53	270253.0965	363264.5822
P39023	74100.18933	52341.48836	161765.3926	196019.28	162674.929	257667.4014	129058.1984	143252.3495	80417.78877	79290.26615	114784.1179	107372.6285	69254.64158	206646.5655	143218.2053	95157.33511	117849.0933	67387.658	265946.5651	168354.5106	315127.0436	217433.1457	221242.3336	225141.8585	159018.3544	240700.6753	209264.3789	159174.1678	195637.7072	202304.6493	85974.54011	70232.96191	135325.1341	201683.8974	163099.7485	170001.3394	105674.9103	72496.06703	80207.97153	93207.11916	48419.38134	84593.97423	66897.0014	148681.4577	121757.6725	108406.028	93975.27481	89181.18276	211822.9807	146233.5556	263517.9106	193244.4041	249958.237	172344.0632	164946.538	262375.0321	153201.8461	172052.9502	169894.9765	232021.3901
P39059	175609.1176	151237.8467	161081.6095	118562.0135	110289.8165	143662.291	144602.2708	165014.611	134587.0092	198543.7651	204309.3537	171784.6326	116626.8103	199835.5277	183220.2949	118357.1827	169082.9576	139916.8935	141512.2563	131664.6518	160628.8479	129349.8613	118527.5274	137276.9104	125589.2424	164311.9296	181782.6603	140062.0382	129088.1564	109121.5031	141114.0043	150761.7298	150033.5836	145609.5852	115307.9566	107548.9577	113342.6258	131858.0758	136641.4568	147673.7817	74816.86289	125503.7756	125233.7985	150554.2846	163108.1688	141502.061	146844.4832	134807.6964	116627.6479	131711.896	132033.8731	136361.2852	121354.0073	121756.3207	136892.2779	175239.1123	153688.081	137852.2301	131108.3857	139194.0357
P39060	212657.2887	238962.9867	272554.0713	173695.6101	134937.3369	200727.5981	213375.9946	224754.4301	170470.2594	192821.3677	174546.2293	164858.7579	171268.6422	302512.2869	250624.5814	188723.7613	222518.6138	189814.9489	182092.3641	186684.2785	184631.4055	161042.4376	143218.0615	192998.2811	147922.4965	196843.3342	231962.8769	152780.1738	166121.8702	142515.4184	182897.8419	231597.8814	267296.5568	184910.343	171658.6923	160454.3864	169635.0187	153980.0098	179894.4214	140030.16	74105.90435	128825.31	187656.4544	217239.0496	206154.6964	164773.023	221173.129	177532.1177	161383.2591	183497.4099	187151.2369	167128.4719	168019.9757	182025.9737	160291.2314	233809.6743	196109.7846	177343.6898	170867.1968	223923.0706
