Protein	PCV1	PCV2	PCV3	PCV4	PCV5	PCV6	PCV7	PCV8	PCV9	PCV10	PCV11	PCV12	PCV13	PCV14	PCV15	PCV16	PCV17	PCV18	PCV19	PCV20	PCV21	PCV22	PCV23	PCV24	PCV25	PCV26	PCV27	PCV28	PCV29	PCV30	PCV31	PCV32	PCV33	PCV34	PCV35	PCV36	PCV37	PCV38	PCV39	PCV40	PCV41	PCV42	PCV43	PCV44	PCV45	PCV46	PCV47	PCV48	PCV49	PCV50	PCV51	PCV52	PCV53	PCV54	PCV55	PCV56	PCV57	PCV58	PCV59	PCV60
Q9BXP5	47971.67653	76282.88278	78504.10852	64177.43906	40502.18004	80854.9527	54566.43985	101738.2315	59871.39251	77994.68746	55047.70064	60587.73793	83915.48713	96653.40771	65753.82023	49729.44427	37872.116	64103.79735	68392.93924	115885.5454	75247.92976	69280.5764	54597.07023	76637.94933	78472.49292	56321.64124	138693.3995	63844.69635	82144.44903	50662.87011	54145.01759	65402.57288	54541.29023	46523.07702	55703.21454	50880.5162	76581.32765	46350.87412	76010.00983	57803.862	26043.76675	60056.7368	89581.35909	75483.79162	52497.98004	56117.13178	59139.53746	60914.46536	72957.74525	120920.124	81153.44766	69691.1612	73094.25215	72265.4782	102235.7139	67366.49761	90776.18677	68619.65677	78810.7421	78220.24415
Q9BXS5	92753.36304	116302.5518	163481.6733	91849.70985	157366.9657	205203.6388	180624.8709	67010.23528	117109.594	85724.159	131192.4177	155291.284	115562.9817	228834.3697	183844.7685	157844.5647	162867.8097	107643.9847	194132.8132	167992.5319	184305.2866	195738.769	198477.6513	165745.9444	122821.8559	171225.4026	200871.0699	131428.7557	148152.5096	181003.6115	143166.8674	96250.49124	155034.7828	208978.5054	117702.1128	144455.9957	185652.948	116937.4531	158650.5922	116130.2374	87378.03007	149823.5965	99994.9458	184185.2097	137693.5983	147009.7992	183233.5773	110405.7487	191431.2704	201558.1205	210914.0431	129270.6002	204910.7166	142588.7047	158966.1998	182681.5173	151413.4237	166824.9705	151596.0004	215707.063
Q9BXW7	185115.7337	315748.207	262400.4062	316563.7255	263847.0359	293855.3592	445857.5922	366487.9873	332605.097	387542.8922	205748.0991	430965.7139	482871.2874	229170.6277	429821.2613	147479.3698	254846.6385	228851.2062	251575.5208	335175.5164	272895.0427	222957.9783	214076.7205	378977.6858	412068.7595	323081.7417	443272.9278	342238.6797	395381.3746	280250.3521	165256.6663	583732.5543	412398.5704	256580.6122	275008.5452	240285.3461	325910.5618	333597.1383	351704.386	328862.4448	150890.759	283493.6634	428724.9732	173076.6297	333652.8527	155453.4846	264047.222	393841.8763	197592.2181	318453.8661	277273.9933	211517.9903	240657.1855	330959.564	35743.15157	310820.8994	552391.174	230576.8098	385068.712	340880.215
Q9BXX3	80452.34454	98240.26122	102720.4263	96813.71593	94433.53559	122566.4725	92333.13897	111251.8872	86411.45465	108980.9925	127219.1568	81071.43153	92879.77407	115727.5469	106383.7904	91581.86064	82535.53783	89217.93004	103429.3885	123862.1757	131310.7479	112883.9114	120557.2401	102917.3865	99668.21346	93044.7678	145501.7426	84966.32552	83143.41556	72011.78648	70652.90977	67016.59644	89012.15171	87510.7388	129509.0072	128157.3005	57411.7405	60820.2583	88261.66792	90200.22755	51780.23427	69419.47042	68246.83702	92456.73969	77926.7683	65989.66429	98083.68126	84612.04665	122324.3332	127758.6436	130723.5542	146145.4635	128863.3695	98764.81839	113032.372	156790.316	112622.948	105195.1453	119861.7311	120566.9216
Q9BXY0	252713.8142	246873.8858	269995.1513	309980.2981	173853.8025	328810.4964	224622.9457	311728.3593	217244.775	277562.2118	277393.4744	230379.7679	172513.2957	348031.3138	245769.3433	204849.7089	207947.4877	200675.643	283742.239	250437.2416	350168.6467	308304.3428	234812.7727	260607.1255	266621.1698	276883.7522	300369.9877	212793.0812	224493.7894	179859.4519	185328.2947	273576.7156	291492.1956	282576.4247	267369.3412	239548.0823	178135.6003	252749.5006	334768.1135	198203.532	123894.6439	193219.2702	316356.1651	258140.2873	240519.124	258164.6668	164876.6556	242864.8878	209137.2223	303981.8283	278760.0088	295527.0589	249482.9711	209755.7809	253639.6504	288369.1712	285309.4319	266688.113	296123.644	263574.149
Q9BY32	28971.42334	31801.76288	16049.93473	28033.95181	29569.80907	42536.19326	21889.72874	23121.24347	16805.44783	26887.6153	24848.09256	23572.04321	19606.3469	49373.95763	34483.71341	24970.28321	31120.0309	19380.38917	42766.21551	31602.94229	52045.5345	39645.19078	34514.97738	39192.11864	31972.68126	46405.79196	40679.64703	29835.91746	41420.14652	28929.42789	21481.88989	20218.93199	23047.43261	22100.72084	39674.88445	30511.71238	16019.25737	21650.51898	23603.04375	25241.74479	13882.36338	20830.61809	15423.40555	39047.48117	37659.19773	27809.83449	24678.27784	25748.58883	34792.67797	26626.29501	54693.21456	45985.58208	43501.97864	36159.61829	38036.6221	55021.51253	45380.63533	34268.73086	43658.71948	48695.01447
Q9BY43	104366.8249	144775.9199	83359.80708	167578.5805	164535.3869	206643.8154	117913.8385	120785.4486	157787.3963	165952.4926	137497.0264	157548.2479	147421.0175	191785.1338	165601.724	100770.3342	107077.3131	116428.9978	100676.1575	76957.51251	167781.715	107614.354	67117.26127	103015.5204	100174.4921	119999.2547	114658.1598	127302.204	110028.052	113496.4332	138152.1455	81829.07946	177973.2717	131945.5643	210168.4026	179480.4058	92751.91194	155636.2731	202570.0487	111623.8704	56292.08656	116180.9084	140644.4267	154320.4935	138080.1741	133242.8047	121605.5184	102498.3373	81180.68703	134084.6213	178871.7894	153561.2065	123812.4864	105934.8488	164674.7513	130161.7084	117365.7244	114300.5457	157316.2922	130703.4253
Q9BY44	160252.4071	176686.522	221542.8854	197708.3892	188834.4388	208603.3459	203867.6838	212722.6208	178390.944	224159.494	229542.6308	198694.4835	218022.6976	262839.9249	228543.0665	147892.5636	171581.409	177449.2378	188999.3748	170786.9001	209042.3986	181973.742	158796.3995	169300.8501	195459.8931	198042.6002	291527.9397	190240.4773	233870.8877	150834.5869	117115.6754	184190.7822	209177.0649	185986.6779	213926.822	205404.3654	151193.6185	194759.1019	202490.5765	171042.438	115856.8057	176770.9976	223598.0077	205546.0782	215451.6259	192088.2551	200320.0248	190083.861	204166.7013	241516.9685	221667.8651	264218.741	202052.7218	186851.5733	213603.4147	238497.1397	254804.6714	223896.3323	243964.0393	220116.0551
Q9BY50	236225.1593	141187.8002	254471.1513	293876.1155	204473.4697	301063.4267	324656.498	338062.2024	241020.79	223405.0734	295189.1106	311114.8965	149091.9263	377557.4348	313013.3049	286155.8494	267030.979	215441.2326	439245.6082	350925.2857	408307.863	273608.6068	313108.8906	315516.959	265305.1777	331401.4656	377686.5359	263910.4516	251923.9402	249756.009	126901.3201	145626.5099	219923.3788	344955.3445	212326.7317	248052.3867	250309.9753	178983.6775	235892.1946	169023.2674	75342.13183	205634.7271	182560.5264	289271.4723	287360.147	252528.627	239764.6513	176233.479	353043.6895	319162.731	368137.7385	274448.7758	438060.9817	258590.741	296214.6374	345884.0472	283631.3056	275993.0266	247252.5885	340335.8904
Q9BY77	96855.52397	129249.6125	142536.8446	142753.217	166135.9052	146267.4789	103462.6966	146083.0626	111756.1722	143269.7113	142443.7598	113124.356	157166.1226	129062.0516	135089.6124	93848.87831	131279.3036	107314.5703	116341.0609	149569.2519	124284.7922	113517.1719	89626.09796	126358.7241	129708.03	114788.9688	157881.9474	118908.0939	127716.9249	71201.25664	78577.32336	112397.0513	134102.6818	115096.8057	113789.0996	109201.7805	93960.66648	141683.5626	111884.8953	91878.17285	56216.15206	98315.00656	159927.0786	121395.671	119954.5551	86827.39287	119774.9911	107646.7439	111777.7707	154146.8321	133338.7034	137458.9634	115735.8001	123980.2648	108122.326	146507.2144	145918.2317	116117.6234	146756.9224	137531.363
