Protein	kidneyTisue1	kidneyTisue2	kidneyTisue3	kidneyTisue4	kidneyTisue5	kidneyTisue6	kidneyTisue7	kidneyTisue8	kidneyTisue9	kidneyTisue10	kidneyTisue11	kidneyTisue12	kidneyTisue13	kidneyTisue14	kidneyTisue15	kidneyTisue16	kidneyTisue17	kidneyTisue18	kidneyTisue19	kidneyTisue20	kidneyTisue21	kidneyTisue22	kidneyTisue23	kidneyTisue24	kidneyTisue25	kidneyTisue26	kidneyTisue27	kidneyTisue28	kidneyTisue29	kidneyTisue30	kidneyTisue31	kidneyTisue32	kidneyTisue33	kidneyTisue34	kidneyTisue35	kidneyTisue36
P43652	25378.03	37940.34	NA	NA	23631.74	38266.54	84689.84	124830.2	31797.32	129359.2	61451.06	35890.67	8469.239	29111.44	12444.31	NA	NA	17258.52	25178.94	41840.21	NA	NA	25378.03	33680.65	2064.747	134155.2	NA	133921.9	18200.78	38012.43	21763.84	36282.92	88437.7	NA	20825.75	36763.92
O95433	NA	NA	NA	NA	NA	NA	1804.537	NA	NA	128776.2	57348.28	NA	NA	NA	NA	71139.86	NA	87502.26	NA	NA	NA	NA	NA	NA	2064.747	NA	NA	146454.4	69986.84	NA	NA	NA	NA	80199.58	NA	NA
P15924	554483	130842.1	343262	276628.6	670786.9	243907.9	789446.1	427428	633821	207384.7	682653.9	221565	297711.2	148739.1	250479.3	218057.1	115306.4	136064	591008.8	125103	322906.2	404349.8	633821	228946.3	643593	404349.8	597545.5	423963.5	682653.9	198832.2	297711.2	286640.3	540115.8	224837.6	114195.5	101732.7
P17931	62503.04	549609.4	37326.2	268122.8	104458.4	235242.5	163494.7	214743.1	33182	544909.7	67333.54	126409.1	46219.52	146454.4	47697.29	64901.59	63988.55	NA	63816.85	572844.6	48208.46	264324.1	57523.94	214743.1	138965.2	140112.6	38794.68	659554.4	72977.35	69986.84	60305.64	155885.6	NA	57737.64	56514.53	NA
P06748	63640.03	115537.1	73278.36	160172.7	49228.15	136875.9	227161.7	117106.9	77225.75	261842.8	60214.34	144761.6	57005.18	72021.55	85345.17	259314.6	101308.6	117389.5	61249.4	118534.4	89804.98	147423.5	76929.26	131767.9	121609.6	115537.1	74546.25	253890.9	67233.22	115757.1	55431.72	82372.63	81957.89	266898.1	88904.66	113145.5
O14964	21706.65	NA	21509.59	NA	21831.56	23741.29	1804.537	25444.86	19247.7	21883.76	29308.43	35413.6	24705.79	27593.38	17778.32	20961.99	NA	35246.61	21199.16	29918.29	NA	NA	22426.11	28649.97	2064.747	35681.91	NA	29487.39	30568.06	32596.28	24705.79	NA	19983.67	NA	NA	34176.42
P15586	60140.21	38641.15	27191.27	43184.22	75282.1	24059.86	1804.537	60013.66	59915.42	64365.04	89204.91	20708.82	57959.53	26881.08	35246.61	59138.55	46957.7	27593.38	62503.04	34176.42	27260.11	44946.28	73278.36	26314.17	2064.747	60013.66	61553.77	69842.1	91628.1	25912.83	54839	32198.97	31454.9	64601.65	44228.64	32882.37
O14841	NA	NA	NA	NA	NA	NA	1804.537	NA	NA	28951.34	10434.71	NA	NA	NA	18886.76	NA	22122.36	NA	NA	NA	NA	NA	21073.92	NA	2064.747	NA	NA	22251.11	NA	NA	14502.55	NA	22562.35	NA	NA	NA
P08572	123432	65757.16	81510.46	82528.65	120716.2	94484.9	284934.5	34116.76	144058.2	33573.36	92973.8	109006.7	116824.3	29308.43	102116.3	78414.15	173069.6	13990.29	117389.5	60992.96	79458.77	80614.2	116010.1	99806.29	271920.4	37687.1	136875.9	51085.24	102116.3	85464.76	132107.8	NA	113400.3	80903.05	167180.7	19983.67
Q8N655	NA	NA	NA	NA	NA	NA	1804.537	NA	77962.17	NA	NA	NA	NA	40140.37	NA	NA	NA	NA	NA	47954.48	43101.08	NA	NA	NA	2064.747	NA	NA	66704.82	NA	NA	NA	NA	NA	NA	NA	NA
P15374	6919.769	NA	NA	NA	NA	NA	1804.537	11359.64	2714.897	29597.68	3325.908	13101.96	2282.408	34042.57	3060.442	NA	12327.9	NA	8469.239	NA	7930.744	NA	15575.29	NA	2064.747	12494.7	NA	32815.68	27310.46	18592.77	26947.6	NA	NA	NA	17916.59	NA
P12814	35565.03	67749.81	31084.27	57169.19	25255.74	46495.02	83236.9	41913.8	34856.47	NA	22946.86	50923.04	41974.24	56433.61	45427.61	108554.7	19175.72	23207.51	38443.16	72977.35	30039.09	31521.7	38641.15	51189.29	67976.03	55745.15	40935.27	NA	21010.82	40738.93	29242.13	55954.92	27915.41	104937	35050.65	31989.24
P50895	43279.69	30209.1	30963.73	NA	39208.25	28027.68	1804.537	NA	29308.43	47269.07	33325.86	31231.34	46895.88	66058.39	51386.23	37020.33	34506.99	NA	34856.47	35413.6	29052.19	NA	44605.86	41711.94	2064.747	NA	28588.87	44088.33	37735.48	41493.97	48818.65	73411.06	40140.37	35772.38	29052.19	NA
Q13825	135737.2	NA	153896.5	NA	174111.8	NA	1804.537	156268.9	105177.9	159751.2	148739.1	29862.3	122047.2	25178.94	130216	NA	87836.96	97140.59	125612.2	NA	134155.2	NA	185160	NA	2064.747	161859.3	122859.9	167482.1	152247.4	NA	135737.2	NA	135737.2	NA	92656.4	106954.4
P55795	NA	NA	NA	NA	NA	NA	1804.537	NA	NA	NA	NA	NA	NA	NA	NA	NA	370040.5	148188.2	NA	NA	NA	NA	NA	NA	2064.747	NA	NA	NA	NA	NA	NA	NA	NA	NA	393512.7	155137.9
P52565	116824.3	177772	136629.6	177210.9	112417.9	236030.4	108357.3	138626.9	106131.2	144761.6	106954.4	200649	110367.2	236030.4	108357.3	154819.9	131767.9	100310	114195.5	174984.5	138626.9	163095.2	108189	220764.4	154345.9	128015.6	104458.4	147423.5	108357.3	212292.8	118534.4	212997.3	113145.5	154819.9	137982.3	124024
Q9UGI8	NA	60416.61	NA	41974.24	NA	21883.76	1804.537	NA	NA	819.1111	NA	28468.21	NA	34856.47	NA	30674.6	26232.09	NA	NA	37185.8	NA	30812.9	NA	55100.23	2064.747	NA	NA	NA	NA	30621.55	NA	35302.49	NA	36763.92	51085.24	27191.27
Q9NPH2	NA	225598.7	231528.4	16768.37	NA	211073.8	1804.537	191537	179524.6	141996.6	175808.5	396912	NA	55509.41	150524.5	99627.9	347082.5	370040.5	NA	393512.7	232556.1	NA	150524.5	NA	2064.747	NA	NA	136629.6	NA	367784.7	NA	54056.81	22378.06	26736.89	327799	351190.2
