Protein	kidneyTisue1	kidneyTisue2	kidneyTisue3	kidneyTisue4	kidneyTisue5	kidneyTisue6	kidneyTisue7	kidneyTisue8	kidneyTisue9	kidneyTisue10	kidneyTisue11	kidneyTisue12	kidneyTisue13	kidneyTisue14	kidneyTisue15	kidneyTisue16	kidneyTisue17	kidneyTisue18	kidneyTisue19	kidneyTisue20	kidneyTisue21	kidneyTisue22	kidneyTisue23	kidneyTisue24	kidneyTisue25	kidneyTisue26	kidneyTisue27	kidneyTisue28	kidneyTisue29	kidneyTisue30	kidneyTisue31	kidneyTisue32	kidneyTisue33	kidneyTisue34	kidneyTisue35	kidneyTisue36
P25787	71139.86111	105601.5139	67879.775	94670.17778	68064.10278	139670.3833	80199.58056	52341.575	83842.96667	105601.5139	79816.24167	127429.6806	62503.04167	132404.4361	73411.05833	67555.47222	47413.43333	42876.78056	64601.65278	103356.1556	69296.96944	81771.47778	63060.78333	133013.9667	78753.84722	47551.11944	71011.47778	85600.46944	79299.875	122047.1528	71531.77778	115537.0722	67555.47222	80102.56944	45731.62222	56337.17778
P53680	NA	NA	90534.5	89991.46111	65665.83611	99238.84167	1804.5375	75613.88611	89524.71944	75506.47222	NA	89349.21389	90840.21944	82939.10556	NA	76018.00556	89991.46111	87070.10833	NA	93224.90833	87070.10833	114195.5	NA	88118.88056	2064.747222	80199.58056	91628.09722	77488.90556	80345.41111	75858.82778	90840.21944	76153.19167	80614.20278	92973.79722	98104.31111	97572.18611
P60660	240932.0167	354757.6611	299487.4639	306071.7972	220764.4333	427427.9944	261842.85	157629.9389	302761.3833	250479.2778	192915.5889	283710.5694	315747.9639	352898.8722	299487.4639	529672.9389	168883.1167	148739.0889	225598.7306	331530.4917	240054.7583	302761.3833	266898.1167	427427.9944	229655.8833	168410.95	277824.3028	255122.1	193664.7694	260389.5194	286640.3306	365975.5472	280540.2583	544909.675	154345.9056	152247.4222
Q9NR12	38365.15	55162.83056	NA	NA	NA	34386.66389	1804.5375	NA	NA	NA	NA	NA	NA	47623.21667	40204.65	84980.21389	NA	NA	39719.26389	60013.65556	NA	NA	NA	36422.79444	2064.747222	NA	NA	NA	NA	NA	NA	48818.65278	42192.09722	75160.02222	NA	NA
Q96HC4	41362.59722	NA	39644.09722	24705.79167	37572.64444	27753.78333	1804.5375	9611.819444	31585.27778	30963.73333	32750.56111	NA	43945.29444	38641.15278	34916.06389	53831.875	15459.05556	14738.53611	42876.78056	NA	34267.10556	30102.46944	39848.8	31084.26944	2064.747222	NA	34713.41944	35413.60278	37386.23333	NA	49915.78611	40204.65	25669.13056	59138.54722	13744.35278	22861.63889
Q13148	39433.15556	51386.23056	30313.51389	35479.70278	35050.65278	22496.77222	1804.5375	11167.62222	15116.90556	45427.61389	25795.88611	42255.78333	16703.18056	16953.34444	35969.43889	10354.89722	38130.55	37940.34444	25795.88611	57737.64444	37761.1875	13990.29444	25795.88611	75282.1	2064.747222	19247.69722	31865.32222	38072.94444	42876.78056	26368.11111	40858.48889	NA	29597.68056	46154.89444	46689.51111	22730.30833
P50440	692332.4639	NA	290924.3778	NA	820257.1583	88271.58056	1804.5375	651711.1083	670786.8861	NA	1027249.636	88904.66111	606496.8472	70389.425	582535.6889	NA	307204.9611	414661.1222	716944.3	NA	190390.4361	NA	838302.8639	108357.3056	2064.747222	591008.7972	670786.8861	NA	913960.0111	90534.5	520102.6639	71011.47778	524995.4472	113400.2778	232556.0972	362020.7778
Q9C040	NA	65391.50833	NA	NA	NA	113916.8111	171211.3833	NA	NA	39848.8	NA	NA	NA	NA	NA	NA	34042.56667	23827.06111	NA	NA	NA	NA	NA	124830.2444	174540.8333	NA	NA	40140.37222	NA	NA	NA	NA	NA	NA	42404.53333	NA
O94925	144058.1806	83842.96667	145951.8722	28468.21111	177772.0361	33974.14167	1804.5375	325019.5944	167180.6528	57850.98889	151558.8611	50996.28889	177772.0361	25378.02778	95951.08056	119242.6611	67021.11944	98824.39722	144761.6306	87306.24722	147423.5028	23207.51389	178254.9972	56097.275	2064.747222	335047.875	167180.6528	60013.65556	155550.8472	53026.19444	182241.5917	41004.78056	104458.4222	109273.6861	73975.35	95207.85
Q15459	7203.25	NA	NA	35117.79444	NA	41362.59722	1804.5375	NA	12806.98333	6099.858333	NA	29698.68889	30039.09167	NA	NA	27367.98056	NA	29987.46944	NA	NA	NA	45654.69722	NA	20825.75278	2064.747222	NA	NA	10013.70278	28285.6	NA	35176.2	46353.275	32143.85556	33003.63611	51480.32778	33974.14167
P84103	117705.0667	139288.4583	86082.28333	166703.4861	83666.13889	151906.3417	1804.5375	131767.875	86395.17778	135034.975	92200.61944	185750.2889	93424.58611	133565.0806	104937.0056	159352.6944	169404.1694	146872.8417	121324.3972	189251.4111	121022.2306	162300.5278	86943.43056	157255.7889	77070.33333	141296.2972	87836.96111	136063.9972	129359.2306	133313.0778	127429.6806	182241.5917	104937.0056	197524.1667	186398.9306	134561.675
O94788	51189.29444	NA	NA	NA	NA	NA	1804.5375	NA	125846.9583	58530.55	95661.27222	NA	NA	NA	5154.055556	NA	NA	125846.9583	NA	NA	NA	NA	111753.2333	NA	2064.747222	NA	140860.8611	54160.36944	109006.6667	NA	NA	NA	NA	NA	NA	125372.3139
P24539	109599.3722	24565.31111	161420.0417	89662.875	148739.0889	36705.59722	161046.5389	236812.625	143056.5028	213886.2778	128225.4583	49739.87222	138965.1722	35890.66944	175808.5028	33435.33611	68927.99444	175372.7444	129969.2417	28285.6	164343.5333	32815.68333	155550.8472	24133.67222	179177.4333	240054.7583	130842.0806	204722.1472	144058.1806	23275.01944	99433.58889	24964.95	142306.7667	25067.46111	113682.8528	169817.5778
P61457	82784.10833	NA	159751.1667	NA	91020.11389	NA	1804.5375	182794.55	NA	78654.15556	140860.8611	NA	146454.4139	NA	NA	NA	NA	NA	NA	NA	NA	NA	116289.9222	NA	2064.747222	205171.55	NA	NA	147792.8639	NA	133313.0778	NA	NA	NA	NA	NA
P08729	81325.09444	258247.0806	56135.89722	NA	42472.01944	299487.4639	1804.5375	345183.5389	81325.09444	301234.9028	74405.99722	319228.3694	78923.71389	NA	172575.7444	NA	760797.7639	659554.425	87502.26389	227900.2778	78078.69722	NA	25669.13056	256285.6861	2064.747222	327799.0389	87958.77778	275420.6917	72135.45	307204.9611	78654.15556	59642.93056	169817.5778	99968.925	706520.2861	633821.0389
Q2TAA2	7267.361111	81771.47778	5744.636111	49467.07222	41077.87222	60992.95833	75282.1	42032.725	NA	95207.85	42132.28611	54990.34444	NA	50108.55	5634.227778	NA	49915.78611	36623.49167	9293.766667	75506.47222	8792.511111	52572.61389	NA	53943.025	69495.64167	41135.21111	60140.20833	97932.12222	44865.20556	46957.70278	NA	59328.50556	62246.10278	NA	47413.43333	39273.51389
Q96ER9	NA	NA	NA	NA	NA	NA	1804.5375	17309.98333	NA	1820.425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	16768.37222	NA	4463.661111	NA	NA	NA	NA	NA	NA	NA	21634.75556
P62258	264324.1	333342.6833	205865.0722	294964.2667	217235.1083	431283.1444	357417.5972	259314.5667	221564.9694	400332.5361	215427.0333	349248.8417	251821.7111	414661.1222	253890.9056	195146.0472	490235.9083	246687.75	247871.4917	336790.7667	204722.1472	294964.2667	229655.8833	431283.1444	266898.1167	260389.5194	233372.8583	449960.5111	162300.5278	349248.8417	220764.4333	343261.9917	221564.9694	189251.4111	336790.7667	336790.7667
Q9UF12	51910.26667	24411.29444	22946.86111	NA	63302.14444	NA	1804.5375	NA	10434.71389	NA	43945.29444	16653.17778	59047.325	NA	58361.84167	NA	NA	NA	84689.83889	27367.98056	64229.40556	NA	104642.8528	18280.41944	2064.747222	NA	7428.344444	NA	55745.14722	21073.91944	29597.68056	NA	32198.96944	NA	NA	8866.933333
Q05707	131151.9083	135337.9083	63415	106789.7611	76018.00556	42566.36111	65864.34444	NA	54642.17222	NA	32524.26667	NA	147423.5028	69163.64722	158031.6028	137175.075	70281.08889	NA	137175.075	110112.0222	48954.48611	100616.2694	71906.43056	44536.32222	63640.03333	28951.33611	100616.2694	NA	34787.12222	NA	137982.3083	46818.33056	149632.625	125372.3139	NA	53240.82222
P32119	490235.9083	554483.0056	505272.675	77594.35833	427427.9944	861796.25	1300717.747	484623.9806	462133.8694	597545.5028	466164.8639	549609.3778	421056.1528	633821.0389	474797.0194	325019.5944	633821.0389	509155.2389	549609.3778	566103.9194	534962.1694	75727.375	404349.8083	706520.2861	1057986.386	505272.675	462133.8694	582535.6889	490235.9083	623040.5528	423963.4806	651711.1083	559863.85	349248.8417	623040.5528	534962.1694
O14828	NA	NA	NA	33003.63611	NA	NA	1804.5375	3515.05	NA	NA	NA	NA	4980.638889	NA	NA	13990.29444	13990.29444	8082.066667	NA	NA	12983.18889	36073.49722	NA	NA	2064.747222	9945.716667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14874	36956.08333	42876.78056	34713.41944	44306.31944	42566.36111	34506.98889	1804.5375	44797.68889	31345.97222	27753.78333	36018.36111	NA	25912.825	38870.95556	35413.60278	36073.49722	39356.67222	61900.07778	39986.90278	56058.65278	42032.725	48314.38056	50560.56389	38720.08889	2064.747222	64601.65278	29005.53333	28588.86944	39986.90278	31289.59444	41711.94167	44536.32222	29176.40833	57265.41389	42741.92222	68303.94444
Q8TCS8	13339.98889	NA	21313.90556	17826.70833	16653.17778	NA	1804.5375	38443.16111	1932.863889	34176.425	9347.894444	NA	4776.936111	NA	6838.705556	11832.575	11758.93889	37326.20278	13990.29444	NA	13397.275	20708.81667	17778.32222	NA	2064.747222	38072.94444	9708.25	52194.85833	14049.15556	NA	9065.825	NA	13480.96111	17146.31111	19108.58056	48594.65
P30405	NA	NA	NA	14566.58056	NA	NA	1804.5375	23207.51389	NA	25318.95	7593.127778	NA	NA	NA	NA	NA	NA	21073.91944	NA	NA	NA	17146.31111	NA	NA	2064.747222	23992.28333	NA	24411.29444	16143.24444	NA	NA	NA	NA	NA	NA	19108.58056
A0AVT1	NA	NA	NA	33491.8	NA	22861.63889	1804.5375	NA	NA	46895.875	NA	NA	NA	NA	NA	70145.76667	NA	NA	NA	64702.21944	NA	65391.50833	NA	NA	2064.747222	NA	NA	43653.46944	NA	NA	NA	NA	NA	NA	NA	NA
Q15437	NA	NA	NA	28140.72778	NA	NA	1804.5375	NA	NA	54002.71389	NA	NA	NA	NA	NA	35302.49167	NA	NA	NA	NA	NA	22122.35556	NA	NA	2064.747222	NA	NA	58798.93889	NA	NA	NA	NA	NA	31920.16111	NA	NA
Q15654	14566.58056	NA	7593.127778	22174.56667	12327.9	14738.53611	1804.5375	NA	6264.758333	NA	7203.25	NA	11401.85833	23318.46944	NA	12983.18889	NA	NA	NA	NA	12744.35	NA	NA	NA	2064.747222	NA	9416.930556	NA	NA	21883.76111	NA	NA	NA	NA	NA	NA
O00391	NA	NA	NA	NA	NA	NA	1804.5375	NA	NA	NA	NA	191537.0444	NA	204722.1472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	NA	NA	NA	NA	206752.4528	NA	NA	NA	NA	NA	NA
Q3KQZ1	78414.15	103960.1944	71375.86667	NA	67454.83889	NA	1804.5375	56135.89722	82528.65	NA	65031.80556	NA	75506.47222	NA	74269.09167	NA	NA	57850.98889	75613.88611	NA	NA	NA	64790.48611	NA	2064.747222	NA	85899.78889	61068.98333	NA	NA	NA	NA	71658.52222	NA	76429.37778	59642.93056
P13807	NA	59225.875	NA	56917.53889	NA	58862.075	1804.5375	NA	NA	NA	NA	30963.73333	NA	76579.02222	NA	56135.89722	16703.18056	NA	NA	92200.61944	NA	35117.79444	NA	71739.48889	2064.747222	NA	NA	NA	NA	38979.63194	NA	78923.71389	NA	66141.675	NA	NA
Q8NE62	159352.6944	NA	113400.2778	NA	191537.0444	11974.40278	138626.9111	188132.0556	127797.3361	5154.055556	176213.9167	52341.575	165765.8556	NA	130557.2361	90344.07778	77070.33333	193664.7694	145951.8722	NA	113145.4611	NA	190935.1833	17916.59167	2064.747222	196996.7833	126743.5778	9155.547222	178745.2667	50797.625	165765.8556	40567.00556	141996.6361	116548.9417	72977.35278	185159.975
Q9H4G0	NA	NA	NA	154345.9056	43023.30556	NA	1804.5375	66477.81389	NA	42404.53333	54240.60556	NA	39848.8	NA	41711.94167	NA	105857.7472	43945.29444	NA	NA	NA	NA	NA	NA	2064.747222	40479.86389	NA	45427.61389	10482.31944	NA	NA	NA	NA	NA	49915.78611	46154.89444
P02549	57959.525	66141.675	37185.80278	NA	NA	61451.05556	154819.925	NA	NA	NA	NA	NA	NA	38511.05	NA	NA	74269.09167	20892.73056	21763.84444	72635.24444	NA	NA	NA	58530.55	133921.8944	NA	NA	NA	NA	85345.175	NA	NA	NA	NA	NA	NA
P38919	40204.65	86748.57778	29918.29444	116010.1111	54002.71389	67454.83889	1804.5375	28649.975	30264.74167	50560.56389	47039.95	66571.79167	39785.63333	73524.28056	52957.46944	69163.64722	71252.18889	104642.8528	48314.38056	73200.34722	NA	84980.21389	60697.71111	67333.53611	2064.747222	57959.525	45174.87778	47551.11944	42741.92222	67454.83889	62113.76111	90344.07778	60214.33611	111753.2333	84185.69722	104286.9333
Q9BWX5	NA	NA	131151.9083	NA	NA	68194.41389	146872.8417	NA	83666.13889	NA	NA	NA	NA	NA	NA	NA	NA	NA	58172.70833	76787.61667	137175.075	NA	NA	74269.09167	120161.7028	NA	91127.04167	51910.26667	NA	NA	NA	NA	NA	NA	NA	NA
O75368	120716.1944	153483.2472	100616.2694	74546.25278	118268.9778	178254.9972	1804.5375	81635.41944	111001.2528	124294.3139	130557.2361	88118.88056	111326.7639	144444.7472	117389.5083	156268.85	67555.47222	72761.175	109273.6861	128015.5778	91466.47222	105177.8583	110112.0222	143381.05	80405.44444	102116.3306	104101.6361	114920.9583	117389.5083	104937.0056	104458.4222	131151.9083	119242.6611	138965.1722	68503.39167	62845.96667
O75746	NA	NA	3186.05	NA	7930.744444	NA	1804.5375	21199.16111	728.8222222	14957.50833	3130.811111	NA	1065.997222	NA	2942.380556	40663.75278	12874.95278	10890.85833	NA	NA	NA	NA	NA	NA	2064.747222	21381.11389	5744.636111	22402.0875	8603.886111	NA	NA	NA	NA	NA	16436.64444	12034.32778
Q16881	NA	NA	18957.21389	25539.53056	NA	24335.52222	1804.5375	47269.06944	15001.91111	11167.62222	37526.54444	NA	23009.54444	NA	19108.58056	103144.4417	32469.20556	NA	18128.35	NA	34856.46667	NA	19983.67222	47343.66944	2064.747222	49636.30833	NA	26438.35278	39785.63333	NA	NA	NA	14049.15556	69163.64722	25766.475	NA
Q16134	63548.53889	NA	78078.69722	28517.16944	75400.28333	NA	70903.29444	116824.2667	78216.50833	129074.7528	74780.30833	NA	75858.82778	27310.46389	79971.32778	NA	46895.875	57169.19444	63415	NA	68064.10278	31161.05556	72761.175	NA	75858.82778	103356.1556	72635.24444	116548.9417	78414.15	29369.21944	59827.375	39719.26389	78547.76944	NA	48664.34167	33256.26111
P13797	55509.41111	60140.20833	76153.19167	52110.30556	62503.04167	48017.64444	1804.5375	14566.58056	56514.52778	59138.54722	59138.54722	31663.40833	55162.83056	41778.37778	59225.875	77850.57222	NA	NA	52008.525	44088.325	69842.09722	62845.96667	62845.96667	54160.36944	95057.04722	NA	39644.09722	32469.20556	70504.27222	38365.15	63415	52194.85833	71739.48889	80741.55556	NA	NA
P16219	87184.23611	29748.37222	99806.28611	24907.93611	112182.2639	81510.46111	252846.2278	160172.6972	113145.4611	484623.9806	125846.9583	43653.46944	126743.5778	51085.23889	97140.59444	16436.64444	35565.02778	51690.70556	90534.5	31797.31667	95057.04722	25957.41111	104101.6361	75049.44167	248839.1306	168883.1167	109599.3722	441856.5167	117705.0667	55431.71944	117106.9389	42255.78333	86943.43056	21553.00278	23498.14722	51690.70556
Q9UBI1	9652.077778	NA	16316.32778	NA	NA	12567.36389	1804.5375	1788.65	5920.558333	16907.93333	20215.76944	NA	10649.17222	NA	NA	NA	NA	NA	NA	NA	16830.27778	NA	10577.49444	21131.375	2064.747222	9229.783333	NA	29338.82639	NA	NA	18200.78056	NA	NA	21073.91944	NA	NA
P21964	NA	NA	34579.48056	NA	NA	47039.95	63188.02222	38012.42778	NA	NA	33116.58889	NA	NA	NA	69296.96944	38641.15278	27967.68056	NA	NA	NA	35890.66944	29005.53333	NA	NA	2064.747222	NA	NA	NA	NA	NA	NA	NA	59328.50556	NA	NA	NA
P04233	NA	36493.12222	28736.94444	53711.55833	NA	70596.1	1804.5375	10943.79722	18957.21389	NA	NA	83666.13889	NA	23827.06111	NA	16382.90556	NA	5768.044444	NA	41974.24167	29308.43333	46818.33056	NA	59915.42222	2064.747222	13339.98889	NA	NA	NA	NA	10577.49444	26232.09167	NA	22055.12778	NA	NA
O60762	2910.105556	NA	2077.569444	11115.65833	4980.638889	NA	1804.5375	1401.463889	276.375	886.2138889	1481.225	NA	211.8722222	NA	1251.513889	NA	4172.005556	2471.813889	3405.972222	NA	4463.661111	12983.18889	6919.769444	NA	2064.747222	NA	NA	2753.830556	NA	NA	4061.402778	NA	NA	NA	NA	6501.191667
Q9P2F5	NA	63188.02222	NA	NA	NA	171594.5194	1804.5375	69379.75556	NA	30674.60278	NA	42741.92222	NA	64108.37222	NA	97572.18611	NA	NA	NA	65031.80556	NA	NA	NA	163965.7639	2064.747222	70389.425	NA	28285.6	NA	NA	NA	60697.71111	NA	91127.04167	NA	NA
P50995	31865.32222	19912.98333	41840.20556	35413.60278	38870.95556	69039.95833	56917.53889	94932.09444	62380.68889	125372.3139	57737.64444	76153.19167	68790.77222	46628.66389	40858.48889	42404.53333	94182.11389	102116.3306	47697.29444	21199.16111	38072.94444	37786.89722	60140.20833	41493.97222	55100.23333	113400.2778	61777.62778	115306.4	49915.78611	45107.12778	76685.11389	38870.95556	60697.71111	48113.20556	92512.36667	110112.0222
P49327	NA	NA	4529.997222	70145.76667	NA	NA	775969.2167	5582.866667	8003.658333	NA	NA	12444.31389	2328.733333	NA	12806.98333	31989.24167	23009.54444	16046.75556	NA	310472.525	7770.880556	71139.86111	NA	NA	706520.2861	15847.525	15633.68889	NA	NA	NA	NA	NA	NA	36339.93056	27066.25833	17029.86667
P49914	28649.975	20116.76667	17080.19444	NA	36144.325	12983.18889	1804.5375	8569.097222	26490.25556	4583.052778	32270.83611	13873.04444	30264.74167	NA	11832.575	NA	10833.62778	9229.783333	29487.39444	22562.35278	18677.57778	NA	37020.33056	NA	2064.747222	13283.71389	29862.29722	9065.825	40521.26389	18431.09167	32403	NA	14957.50833	NA	18200.78056	16477.30556
Q10567	236030.4417	179524.6167	282315.8583	126146.25	227900.2778	195146.0472	760797.7639	195557.7861	314250.0694	290924.3778	273261.6639	193664.7694	268122.8361	212292.8167	209499.8583	169817.5778	255122.1	252846.2278	209499.8583	222387.2083	276628.6194	115138	228946.2806	223143.9167	2064.747222	221564.9694	310472.525	325019.5944	345183.5389	220764.4333	308775.6972	220764.4333	232556.0972	178745.2667	275420.6917	261842.85
Q9BRF8	34991.43889	74156.40556	40858.48889	16653.17778	35969.43889	60305.64167	1804.5375	59328.50556	38266.54167	54990.34444	39005.51667	51480.32778	8569.097222	45576.65833	47477.475	21553.00278	21073.91944	19577.77222	35176.2	29430.84444	24655.11389	23318.46944	24565.31111	59642.93056	2064.747222	58172.70833	26686.24167	59047.325	61249.40278	34713.41944	30264.74167	34856.46667	48017.64444	25444.86389	37621.73056	32469.20556
Q9Y5X3	49103.56111	78753.84722	77488.90556	34325.01389	48017.64444	57623.33889	1804.5375	30812.89722	49821.31667	62380.68889	66704.825	48594.65	53332.26944	54642.17222	48438.28611	46495.02222	28070.84444	34042.56667	52272.02222	48379.87778	76929.26389	21010.81667	45944.75278	41135.21111	70596.1	36705.59722	52194.85833	61777.62778	62113.76111	60992.95833	53114.31944	52700.48333	43279.69444	45576.65833	28649.975	28027.68333
P12830	NA	NA	NA	NA	NA	NA	1804.5375	NA	NA	21634.75556	NA	NA	NA	NA	1664.830556	NA	NA	NA	NA	NA	3922.230556	NA	NA	NA	2064.747222	NA	NA	22122.35556	NA	NA	NA	NA	NA	NA	NA	NA
Q9NS69	NA	NA	NA	NA	NA	NA	1804.5375	1681.497222	NA	893.2055556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	NA	NA	5582.866667	NA	NA	NA	NA	NA	NA	NA	NA
P52907	39497.49167	56917.53889	43279.69444	100833.0056	29862.29722	82784.10833	54554.36667	41778.37778	53514.58889	16703.18056	29918.29444	56058.65278	33680.65278	71375.86667	30381.40556	87306.24722	41913.79722	33069.91389	39920.875	55839.27222	45354.11944	101732.6806	31454.89722	78753.84722	66477.81389	37940.34444	46154.89444	17976.62222	30891.04167	55745.14722	32940.66111	71375.86667	26628.23889	84571.84444	39584.43611	33626.33611
Q9H3K6	NA	NA	NA	NA	NA	30039.09167	1804.5375	NA	NA	25539.53056	NA	NA	NA	NA	NA	25378.02778	40795.66111	NA	NA	NA	NA	NA	NA	33491.8	2064.747222	NA	NA	30488.41389	NA	42825.81667	NA	53619.98889	NA	46957.70278	43889.17778	32661.95278
Q9UJW0	NA	NA	12924.71389	NA	22778.51944	NA	1804.5375	3104.916667	16653.17778	NA	10943.79722	NA	NA	NA	NA	NA	NA	18677.57778	NA	NA	NA	36144.325	14957.50833	NA	2064.747222	NA	12744.35	11359.64167	19389.60278	NA	NA	32596.28333	NA	NA	27915.41389	21199.16111
P08962	NA	NA	NA	NA	NA	NA	1804.5375	2643.436111	NA	30434.37222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	9120.119444	NA	26788.92778	NA	NA	NA	NA	NA	NA	NA	NA
P10643	54056.81111	NA	55100.23333	NA	27128.025	NA	60788.275	NA	39719.26389	NA	33388.925	NA	58282.48333	NA	9504.372222	NA	NA	NA	54240.60556	NA	51791.05	15689.55278	32143.85556	NA	80199.58056	NA	36018.36111	NA	19247.69722	NA	64702.21944	32661.95278	NA	NA	NA	NA
Q9Y6I9	NA	NA	NA	11459.84167	NA	NA	1804.5375	NA	NA	3104.916667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	NA	NA	6501.191667	NA	NA	NA	NA	NA	NA	NA	NA
Q8IVF2	NA	25669.13056	NA	78547.76944	NA	NA	1804.5375	NA	NA	NA	NA	NA	NA	57850.98889	NA	NA	33435.33611	12107.39444	NA	26011.68611	NA	82372.62778	NA	NA	2064.747222	6339.455556	NA	NA	NA	NA	NA	126146.25	NA	NA	33435.33611	103736.4667
Q99832	92823.64722	82372.62778	116289.9222	104286.9333	49821.31667	105601.5139	95951.08056	161859.3417	45944.75278	183892.9583	52477.21389	84009.8	76929.26389	44797.68889	50923.03889	125103.0361	203233.9333	216312.2306	40140.37222	50923.03889	114678.2556	71739.48889	108770.2389	69590.70833	88709.01111	116010.1111	46219.51944	179981.8806	35050.65278	86395.17778	55839.27222	77488.90556	96253.9	104286.9333	288001.7778	186398.9306
P61916	168883.1167	NA	268122.8361	NA	119902.0639	NA	1804.5375	35681.90556	286640.3306	69590.70833	162300.5278	NA	124294.3139	NA	102888.275	68064.10278	NA	NA	169404.1694	NA	274264.6194	NA	137596.7167	46553.01944	2064.747222	NA	260389.5194	76787.61667	163494.7444	NA	138965.1722	NA	109273.6861	76929.26389	NA	NA
Q9UNZ2	40286.825	38365.15	8178.736111	11279.84722	15516.17778	68303.94444	54056.81111	4172.005556	17146.31111	36956.08333	31585.27778	50797.625	3303.397222	78753.84722	22664.18889	66477.81389	80614.20278	83842.96667	29176.40833	31231.33611	8507.197222	13531.75556	47788.14722	66927.35556	55254.21389	10434.71389	12983.18889	53831.875	38576.91389	56514.52778	20764.94722	53514.58889	24907.93611	72635.24444	89524.71944	88904.66111
Q8NCW5	31720.91389	31663.40833	27706.525	38072.94444	34386.66389	NA	1804.5375	51274.71944	28403.81389	35246.60556	33974.14167	41190.06944	36558.48611	41004.78056	36339.93056	23009.54444	46303.49167	39719.26389	41077.87222	NA	30963.73333	39584.43611	28782.87222	36282.92222	2064.747222	47039.95	24907.93611	37098.08611	41778.37778	39497.49167	31663.40833	41362.59722	27753.78333	35817.41111	49821.31667	55431.71944
Q70UQ0	NA	37448.41111	NA	83390.32778	NA	44397.45278	1804.5375	NA	NA	NA	NA	NA	NA	NA	NA	43945.29444	NA	8906.125	NA	40521.26389	NA	78078.69722	NA	64790.48611	2064.747222	NA	NA	NA	NA	NA	NA	NA	NA	39584.43611	NA	NA
Q16540	NA	NA	NA	NA	NA	NA	1804.5375	16249.23333	NA	NA	11880.63333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	18760.08056	NA	NA	NA	NA	NA	NA	NA	NA	NA	17976.62222
P26599	121609.5972	209499.8583	90661.31389	161046.5389	122047.1528	170638.1389	1804.5375	130216.0056	118998.7444	174540.8333	133313.0778	173069.6306	124023.9972	161859.3417	103356.1556	156696.6278	151558.8611	154345.9056	119242.6611	208139.1139	102116.3306	151906.3417	122859.8556	120161.7028	59915.42222	125846.9583	89204.91389	157629.9389	115537.0722	135337.9083	120161.7028	127141.2083	118793.3722	171211.3833	135337.9083	163494.7444
Q92747	68597.03333	NA	NA	NA	NA	NA	1804.5375	NA	NA	NA	NA	75400.28333	43101.08056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	NA	NA	NA	NA	73747.38056	NA	71139.86111	NA	NA	NA	NA
O14579	NA	NA	14502.54722	17916.59167	NA	NA	1804.5375	2734.252778	3258.655556	11832.575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	NA	18886.76389	14502.54722	17524.54722	NA	21287.46667	NA	NA	NA	18957.21389	14224.84722
Q695T7	76929.26389	NA	79704.05833	NA	107651.1583	NA	1804.5375	NA	129657.6861	NA	116824.2667	NA	103555.3472	NA	129969.2417	NA	NA	NA	81193.98889	NA	72021.55278	NA	119902.0639	NA	2064.747222	NA	135337.9083	NA	122859.8556	NA	105177.8583	NA	119650.7611	NA	NA	NA
O60568	NA	42316.625	NA	196996.7833	NA	43889.17778	1804.5375	NA	NA	NA	NA	35637.81667	NA	36869.43333	NA	20057.05833	35358.80556	NA	NA	40204.65	NA	189860.4833	NA	38072.94444	2064.747222	NA	NA	38511.05	NA	39356.67222	NA	NA	NA	NA	39356.67222	NA
O15394	45944.75278	66477.81389	NA	NA	40075.73611	NA	135737.1806	NA	38953.74722	NA	34325.01389	NA	38130.55	73631.48889	NA	NA	NA	140112.6278	NA	NA	NA	136362.2056	NA	NA	138626.9111	NA	36073.49722	NA	NA	NA	NA	78414.15	NA	NA	NA	NA
P05093	40858.48889	NA	NA	NA	52110.30556	NA	1804.5375	NA	18518.53611	NA	NA	NA	NA	NA	NA	NA	NA	NA	40567.00556	NA	NA	NA	42948.40278	NA	2064.747222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60784	8906.125	NA	NA	NA	17204.06944	NA	1804.5375	15575.29444	8586.491667	60214.33611	NA	24059.85833	8603.886111	NA	17976.62222	20640.28889	NA	NA	13480.96111	NA	NA	NA	NA	NA	2064.747222	14373.54444	NA	NA	NA	17778.32222	9890.291667	NA	12684.50278	21468.525	NA	NA
O75348	60605.32778	36073.49722	109838.8889	35681.90556	99968.925	56514.52778	69163.64722	27646.1	76685.11389	245595.875	117705.0667	54642.17222	111753.2333	NA	50443.02778	NA	NA	NA	55431.71944	34787.12222	NA	NA	NA	NA	2064.747222	NA	NA	237958.4833	NA	NA	NA	NA	47039.95	NA	NA	NA
