Protein	P1Na	P2Na	P3Na	P4Na	P5Na	P6Na	P7Na	P8Na	P9Na	P10Na	P11Na	P1Ta	P2Ta	P3Ta	P4Ta	P5Ta	P6Ta	P7Ta	P8Ta	P9Ta	P10Ta	P11Ta	P12Na	P13Na	P14Na	P15Na	P16Na	P17Na	P18Na	P19Na	P12Ta	P13Ta	P14Ta	P15Ta	P16Ta	P17Ta	P18Ta	P19Ta	P1Nb	P2Nb	P3Nb	P4Nb	P5Nb	P6Nb	P7Nb	P8Nb	P9Nb	P10Nb	P11Nb	P1Tb	P2Tb	P3Tb	P4Tb	P5Tb	P6Tb	P7Tb	P8Tb	P9Tb	P10Tb	P11Tb	P12Nb	P13Nb	P14Nb	P15Nb	P16Nb	P17Nb	P18Nb	P19Nb	P12Tb	P13Tb	P14Tb	P15Tb	P16Tb	P17Tb	P18Tb	P19Tb
P46939	164669	2326	2041	116627	124386	1	274258	158182	94538	139571	87351	68791	88480	106147	82158	95467	1	191028	318713	54920	185503	93610	145221	169208	123939	222095	73707	83183	115873	86977	132329	149232	9071	119451	42915	166870	4530	148841	80615	43878	1	115845	121789	1	150432	158396	76706	106586	79321	1	79601	146945	83117	101200	13928	189013	159679	51798	171132	85741	88568	154103	106873	259653	62620	79293	1	80192	125300	143356	9273	97777	1	157854	100610	140077
P46940	11405	43257	26694	18116	26242	16093	16866	11353	18645	5355	18799	13137	13951	12108	22712	35701	22178	3976	18979	1	7141	1	5079	14192	11597	16640	12308	13107	12153	6370	19845	7440	5848	25980	15493	35168	4111	9990	9145	36796	24609	15270	25626	15980	14619	11446	15359	1	17690	7255	13315	10707	23317	33727	20835	4153	18204	1	1	1	9782	10148	10833	16698	11202	11306	10846	5175	20397	6100	5537	24709	12717	34300	4109	10046
P46952	103670	18041	85608	128055	104740	36421	76622	79697	152012	1	139181	1	1	12287	11448	1	1	57488	12831	132365	1	46210	75148	1	71541	21331	53427	58118	63650	90406	42004	23083	28731	8883	10117	13860	19574	43772	91558	15681	82388	112287	100189	33646	70389	85274	141031	6381	129059	1	5362	10319	11483	1	1	52153	21823	126363	1	43298	73062	1	68089	10320	48492	51347	60911	80817	42325	21437	23029	6618	22274	24696	9770	38819
P47224	6592	1	3811	9500	1	34318	1	1	9739	1	12467	11303	1	1	10691	7788	5540	10997	6593	1	17816	6890	1	1	1	1	4607	6309	6169	8582	7051	14461	11092	6249	10504	5050	8215	1	1	39729	3636	10685	2885	31988	9585	6495	18702	9674	1	11230	1	1	9751	6509	1	10585	4789	1	17557	7687	1	1	1	1	1	1	1	1	5530	13409	9155	5549	8722	5285	7838	1
P47755	33400	41111	35814	31798	43598	21294	41397	32523	31854	1	35637	22313	6872	8940	41837	28758	14868	74804	47232	34260	1	12385	28201	1	8308	7125	7666	25288	26471	26957	42094	69366	55204	32254	32324	61057	41652	25213	27980	35228	36749	28176	40040	19566	38164	8155	29114	1	32623	20552	6411	8293	45408	26535	5493	72521	42608	31360	1	34269	7360	1	27091	6234	6342	6738	29471	22117	40689	70645	59630	32455	28523	57922	35100	23198
P47756	21260	35188	27936	23406	31964	20500	27641	20069	22809	13088	22412	16995	8518	13780	27909	19959	12026	33028	26885	19714	29689	22602	15292	20147	17427	19721	15129	15981	18162	15079	29672	40398	32331	34025	29349	41647	24052	16239	18779	32059	25724	21781	28991	19417	26517	20031	20299	7459	17629	17416	6637	13963	26127	18733	10693	33746	24759	18284	27648	23502	15240	20016	15862	18234	14431	15326	16221	15316	28646	35313	29506	27150	26196	39926	22854	15856
P47895	80693	42706	42895	54657	56807	40936	49621	70246	63502	1	66476	1	41242	33739	19334	62090	1	38223	23394	83347	1	170497	32233	1	36766	41634	38347	36083	38584	40232	50622	27363	41721	35277	31144	47267	66983	20917	71583	36217	43099	45665	49498	39155	50345	70365	62681	1	65905	34423	39342	32150	19549	56902	13511	34067	24595	75900	1	176350	33251	1	30974	38336	34219	34902	37813	36159	49611	27761	40675	37540	31186	45818	64234	19322
P47897	4074	1	143615	106941	124058	1	114627	129115	6445	1	146727	106146	150953	3101	187170	1	1	10080	8159	6313	143115	7259	133618	1	138707	109617	88695	1	1	115737	214557	5703	184554	188987	76339	133230	10171	4415	1	1994	6345	1	1	95736	4692	130659	5256	1	5610	95441	1	181068	2890	228154	208605	116639	136095	113973	121440	6769	1	86510	1	1	1	132809	1	1	6951	185783	208693	2175	1	147468	111885	2920
P47914	19193	26727	36483	18015	36109	12644	35713	25586	37157	2580	39675	66756	13533	5847	31698	10968	7355	27790	41002	22202	1	32853	20206	10734	22179	18615	16151	14828	21061	24816	54965	46357	55104	37716	35625	32795	65410	25286	16630	22932	32032	16940	32174	6115	34156	25180	31481	2350	35151	63905	12014	6123	33503	12540	3631	24050	37470	20626	2296	29013	9631	10045	21276	13461	16941	12044	15626	20747	53119	39968	51341	36704	35383	30833	59006	23166
P47989	17889	1	11029	14471	20902	1	21845	29006	19957	1	26994	1	1	1	1	1	1	5259	4853	27086	1	1	12912	1	14910	1	5233	11959	10945	17154	1	1	14613	1	1	1	1	1	16191	1	10523	15482	20022	3220	21310	30386	21528	1	25280	1	1	1	1	1	1	11231	5131	23565	1	1	15633	1	13508	1	3868	12272	3484	15567	1	1	12250	1	1	1	1	1
