Protein	P1Na	P2Na	P3Na	P4Na	P5Na	P6Na	P7Na	P8Na	P9Na	P10Na	P11Na	P1Ta	P2Ta	P3Ta	P4Ta	P5Ta	P6Ta	P7Ta	P8Ta	P9Ta	P10Ta	P11Ta	P12Na	P13Na	P14Na	P15Na	P16Na	P17Na	P18Na	P19Na	P12Ta	P13Ta	P14Ta	P15Ta	P16Ta	P17Ta	P18Ta	P19Ta	P1Nb	P2Nb	P3Nb	P4Nb	P5Nb	P6Nb	P7Nb	P8Nb	P9Nb	P10Nb	P11Nb	P1Tb	P2Tb	P3Tb	P4Tb	P5Tb	P6Tb	P7Tb	P8Tb	P9Tb	P10Tb	P11Tb	P12Nb	P13Nb	P14Nb	P15Nb	P16Nb	P17Nb	P18Nb	P19Nb	P12Tb	P13Tb	P14Tb	P15Tb	P16Tb	P17Tb	P18Tb	P19Tb
P05783	387117	190067	348945	360165	442710	373447	368230	359289	297090	237545	372762	193198	217800	322131	305882	39130	19560	417921	158774	385948	44219	873861	330157	281125	199312	432634	303069	318845	275758	232627	826779	442265	464317	771911	187146	191762	283767	128044	353272	166706	319653	324992	405861	341902	340372	345053	291065	223980	363617	204009	218283	315234	300936	31819	16633	399246	140248	325001	39502	837389	310023	273955	193352	414702	298804	316340	271110	229646	793374	415588	443845	754039	179428	171119	265685	126439
P05787	352603	218048	287664	344880	389904	280462	383880	336663	265434	102778	328954	232124	222351	266734	224031	43959	9399	365226	140155	336131	37923	857014	600965	215700	304811	490225	501748	420246	370818	392214	812410	486667	443451	597918	213552	142519	353657	176363	349724	209720	267137	314818	351578	264636	393268	311688	256398	101439	314875	223009	214019	274435	214699	40258	8822	378899	145278	308009	30895	828121	555546	209642	310548	468147	459185	385747	387421	371795	736824	480328	441940	615562	208582	136621	322369	172031
P06239	56551	1	1	1	1	1	62854	1	1	35470	1	3056	1	30309	1	37852	44564	41582	1	49122	37239	34240	1	42496	1	1	47278	1	1	45558	51164	1	1	1	35239	1	1	44229	72107	1	1	1	1	1	1	1	1	68739	1	53891	1	41869	1	45386	37183	1	1	1	34685	1	1	51266	1	1	1	1	1	52003	1	1	1	1	1	1	1	1
P06396	15109	115137	50656	22482	45038	23823	28121	15801	35077	11137	36479	35685	58330	51694	76807	88931	42772	19450	51691	15243	24281	13685	7652	19376	14560	23612	17252	12175	20261	10423	74573	29396	37303	50810	26727	139731	26714	20738	14223	108745	47351	20409	39897	20708	23809	15409	31262	10112	33343	34194	56780	52277	72634	83952	37141	18193	49931	13047	23168	11970	9823	18220	13654	21621	17549	11457	20641	10373	65568	29144	35700	47643	24357	127643	25673	20235
P06454	1	1706	1677	1	3177	959	1	571	1	1	1	5544	1	4722	9042	5882	1501	4099	5040	1	4874	622	1	5009	1	467	1	1	1	1	1863	6725	5354	2225	1500	1	12937	3928	1	1500	935	1	1038	778	1	1	1	1	1	2636	1	3757	8883	3743	1	4391	4002	1	4136	1	1	4076	1	1	1	1	1	1	1809	5753	5317	1885	1190	1	11065	2713
P06576	552347	191520	445313	514299	642461	291821	759508	589648	491634	38143	708148	577200	242963	292291	249013	177270	134802	580732	312070	394584	32431	574948	524658	47809	588592	302405	411437	419507	591913	545363	722558	475827	1198805	377102	259903	351202	560488	234306	519848	163665	418186	477470	584659	277460	742670	591399	489868	36704	675201	605841	233758	277555	246400	174275	126162	567134	289870	375092	30218	588810	489942	45095	538694	285037	388575	421158	572101	535397	676712	432107	1166761	361329	251216	335570	540559	213252
P06681	1	1	6756	1	1	5707	1	1	1	1	1	10524	1	11352	5747	5474	6061	9130	5621	4571	1	5595	1	1	1	6278	1	1	1	1	8137	6387	7442	7695	14971	9523	8027	3049	1	4829	1	1	1	1	1	1	4983	1	1	10544	1	11132	1	3927	5515	9471	6569	1	1	6104	1	1	1	5519	1	1	1	1	8450	6228	5931	6357	13534	10294	8212	1
P06702	7725	41751	11405	22930	20868	58145	3332	9199	12521	133209	9770	3993	3611	2939	45999	3812	115986	1	1	22681	246404	1	1	56353	9024	25693	11598	1	15027	1	19027	23551	1	109733	31309	69478	1	1	6822	36368	6154	18541	17893	51747	1	1	12041	128085	9621	4922	3583	2943	49431	8067	103219	1	1	1	227572	1	1	50558	2660	23032	11720	1	14280	1	16853	21142	1	101811	32040	62968	1	6563
P06703	1	11488	4478	1	3994	4822	7297	1	1	1	1	1	26135	18146	20872	67055	35849	1	2736	1	10975	1	1	22823	1	5298	1	1	1	1	25602	1	1	6452	1	24184	1	3632	1	9512	4938	5703	1	4098	1	1	2192	1	1	7094	23272	18665	22034	56283	31708	1	2836	1	10701	1	1	22584	1	5583	1	1499	1	1	23000	1	1	5819	1	4221	1	3217
P06727	2912	33720	12488	1	7641	4741	4623	4086	11525	41023	15788	1	5611	1	5285	1	3307	1	16549	3324	55379	5587	1	38931	1	1	1	1	3560	1	6059	6818	16398	1	5147	21165	6341	1	1	33251	12323	1	7873	4150	4982	3794	11640	1	7201	1	6446	1	1	1	2477	1	16789	1	60729	5659	1	1	3351	1	1	1	3760	1	4878	6467	15292	1	4374	19736	6153	1498
P06733	257007	246055	263207	249297	313145	254294	294743	284340	308000	137849	314489	134765	119830	220053	236086	270060	305445	441354	372939	313597	214975	339985	164759	103463	202717	176615	171473	148100	170783	203484	264055	639649	503223	384858	327552	270072	661483	280875	237415	209652	250207	230489	280207	245657	288384	279408	299496	112523	328098	136388	121589	218509	251431	250960	296018	455276	337423	295276	201934	352206	166835	93789	193376	168442	159430	140444	161823	188294	253659	586756	485785	361905	322882	251983	633523	254910
P06737	108998	6076	80654	106212	101422	41174	95260	134974	135302	11987	108495	1	6510	14287	9668	1	1	64898	27702	52400	1	9997	88629	1	98930	41963	69146	69711	67126	114610	47967	14769	7987	28354	23639	23270	24981	23830	95593	4839	72935	95563	94012	36311	84487	129690	134687	11301	99888	6847	7746	6672	5382	1	1	59854	27259	47665	1	19034	76656	6393	99745	41488	64946	64750	64924	112482	47763	20487	7941	28121	24090	22279	22423	24343
P06744	92188	73344	90915	91489	118421	77983	106394	115895	111158	23211	120838	251949	70367	123670	115213	53626	34613	364337	110658	96290	48110	46438	75106	28771	91879	77452	80646	71812	85248	111505	109114	98946	225033	73534	88246	146623	124021	57542	80570	65188	84682	85955	104384	74593	97943	110633	100894	20989	114258	242356	68624	120713	110192	52326	33984	363727	102899	84017	45153	49647	73333	37058	90456	72365	82031	74591	78692	99949	114509	98051	213132	70765	88002	134888	120072	52190
P06748	16162	22750	23467	13977	25117	4596	22139	15238	20926	1	25127	82113	12958	17093	19350	6109	9785	21850	18488	17884	1	16236	16460	1815	15881	6578	12731	5005	18618	12939	53427	107391	46735	30554	54352	18255	117769	21119	11106	16185	16415	13317	14306	2300	20304	12644	17813	1	21342	57964	13219	6647	20451	13740	4816	24114	16142	16807	1	19254	12231	3907	15903	5340	3105	6760	19144	12771	51016	103245	47692	57826	54680	16470	68182	14382
P06753	39803	60902	54603	39966	60820	28265	49384	47144	54355	1	57819	38141	28652	38930	77945	82506	45984	72075	68071	49997	8001	61784	40836	8443	38329	30433	30513	32102	34282	33129	67885	69265	128554	52064	42771	72309	94904	50616	32832	53888	50132	33543	54686	25894	48101	43690	49646	40349	53423	34210	28634	38160	73239	72961	42699	62344	63339	43557	1	56324	38352	7596	36123	26484	28839	28633	32237	28902	65380	41065	126682	46211	37910	61374	86755	49665
P06756	1	1	1	1	1	1	1	1	1	45320	1	1	1	1	1	1	1	1	1	1	78049	1	1	72385	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43632	1	1	1	1	1	1	1	1	1	1	71752	1	1	71527	1	1	1	1	1	1	1	1	1	1	1	1	1	1
P06865	6501	17509	11102	8163	8598	10134	14321	6115	1	1	10264	1	1	7547	12272	5701	5078	18448	16191	6060	6101	14453	7748	1	6587	7358	7501	1	5846	6210	16593	33765	16619	14458	10306	13466	11439	11033	5547	10874	7306	7298	6445	5737	8335	6356	6186	3481	6409	1	1	7137	14116	5772	5222	18293	16964	1	5945	15376	6594	1	7129	7447	6660	4766	6268	6077	10554	32351	12761	14598	8573	11773	10135	7877
P07099	173457	11220	72503	102376	113325	47865	119166	123052	108923	5380	90467	33907	9168	72245	19991	10828	2605	258414	43651	59128	1	131588	69090	8247	74830	32953	83311	84735	80634	68948	119360	47777	79922	18248	36704	76123	18593	106004	155508	11039	69865	91647	101525	46039	121153	123095	103499	5339	87050	32048	10568	69560	21307	11827	1	241312	42355	46933	1	129450	69125	8855	73760	33633	77749	81967	80064	69847	116240	44980	73642	17539	36119	68029	17014	101403
P07108	41479	22018	64141	42331	55972	45540	54012	62495	99420	20250	79479	127945	42394	35164	74307	49280	17966	55797	66731	79032	8543	47612	23152	7978	40687	28132	33195	37646	32356	43591	30330	22886	80604	31359	140055	30702	113308	20273	35869	20988	57651	38778	54913	42874	49368	59366	97119	11611	73649	126225	42062	36268	74397	44387	14428	52361	59192	72394	6949	45368	21540	8980	41983	28153	32186	34708	32586	43379	32270	21399	80559	29989	141147	30264	102640	19550
P07148	2062892	323876	2532143	2201012	3051570	1421315	2759206	3655900	2464319	179040	3351740	2931278	1743664	300972	674403	37353	1	457675	1334027	3328010	24036	661313	1458330	142221	2304314	847483	2008585	2066266	1843228	2544350	1734434	658652	2756178	1317175	1136939	626969	2179256	1192966	2019614	306450	2383693	2164400	3024160	1355054	2668200	3684790	2497054	170269	3283350	2955275	1704970	302110	662841	37636	7126	457282	1260746	3248290	22135	676791	1471298	135231	2305985	854751	1830364	1953742	1777452	2520025	1715033	651866	2673189	1317751	1154462	604733	2152767	1139698
P07195	11712	62526	41785	23721	25719	23575	13979	10842	17448	9635	17275	20470	17977	12770	93326	22962	12997	9726	23297	8901	34666	3948	6587	27068	8204	22283	10817	9514	10954	8102	24440	19574	10181	33988	14809	57582	12666	13014	11056	62218	28088	21437	32877	20972	13816	17132	28723	12998	15890	18921	18392	12027	94218	22932	11601	7287	14627	7844	33251	3661	6457	24198	7636	20548	8900	8172	8740	7354	28667	11887	8974	32347	19178	56437	8500	7407
P07196	1	1	1	1	1	1	1	151240	539502	196933	1	158634	385686	64474	117048	59406	374260	1	220149	1	1	1	121678	141683	225205	251987	240027	313861	1	179668	140415	1	1	1	106087	1	1	119089	146850	1	1	159671	1	1	1	1	1	119451	1	134242	351935	61500	116851	1	341528	1	224973	1	93053	1	1	154565	273381	257030	252803	337600	404628	184498	1	1	223048	1	105229	168528	1	121443
P07203	54020	25362	32985	52571	36223	20319	47891	58783	55985	17475	24984	21877	26378	17620	22594	63428	24783	11728	33261	13253	23073	11563	36858	25555	22904	22729	23749	31501	37945	53846	43964	35423	47120	31803	25003	42914	18790	28575	44194	28066	28816	49449	35510	17831	46521	32473	55122	16225	29007	20437	24791	16273	15719	54955	18445	11006	31602	15021	22325	23262	29112	24954	25331	20862	26231	29457	20509	39718	34593	31334	46412	30541	24473	38857	16013	27417
P07237	319086	78017	377703	289369	475274	265194	446299	346720	319938	142351	370760	561294	223672	482569	451818	327686	145053	547329	303095	313857	93016	1292378	355908	81350	352100	290432	329084	319411	311083	355226	369767	415276	583623	372300	522111	190778	314824	210570	301816	70325	354528	266828	444156	245447	418951	330456	293884	139590	361197	545799	208737	459843	453653	307256	131766	518719	280354	297895	82234	1275506	345324	82021	338405	297505	300859	309981	304308	345423	353009	389977	563468	345223	507304	179020	299839	203411
P07305	70163	163239	83542	97778	152668	90196	90623	182852	132799	86771	127637	64568	71550	195672	113701	275658	7936	95368	192405	177466	148967	30408	162778	191847	210083	176979	68235	61620	90465	154903	137037	176103	162900	51861	253086	106093	132563	99962	61856	146809	83339	91181	140046	95785	85611	77918	124799	28935	120536	60540	67390	199697	116217	281822	6469	84818	177244	60651	123535	29627	163567	193240	79259	63547	67668	57547	80579	61856	125621	153349	148013	48258	244431	100254	131219	93383
P07339	211198	126118	115894	248360	274189	173677	335076	203736	195483	68260	179008	58524	177598	194290	177466	33878	32105	369189	361829	114119	59231	176170	205380	58063	233339	263506	155112	188921	108155	190421	330109	314654	210869	249386	95126	469635	233630	324252	181721	114671	107833	223000	244454	154079	314630	187837	180046	63132	168642	54654	168532	185398	174899	33085	30367	351407	328252	99638	52069	172763	189326	51452	220674	254994	136603	172352	95254	186496	308137	283265	192715	220569	89909	413274	207935	303254
P07355	53061	257664	130480	56804	104057	37279	73558	49005	61281	1	93973	117056	131890	283911	158066	224377	105200	455804	172529	64202	1	207800	39254	1	39788	66145	53379	19609	52847	45294	426783	104717	433446	179039	82245	461249	60789	108330	48315	224317	118592	49100	93667	37790	66756	49968	58461	1	89927	119916	131297	240342	149189	212161	92480	431878	151491	61740	3460	212894	25643	1	24199	63871	53869	18587	32323	43517	425245	92661	414834	173931	85137	483883	63340	103143
P07360	1	8174	9819	1	12002	6315	1	1	7703	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11100	1	1	7203	1	13356	1	1	1	7688	9696	1	10121	1	1	1	8366	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6915	1	1	1	1	10017	1	1	6860	1	11959	1	1
P07384	21464	33075	29784	24283	21920	17024	23754	23799	23918	6263	24365	14020	7717	9165	15660	7548	8757	43752	28696	5255	9606	25033	16773	13492	21287	14121	17068	18268	18067	19238	30321	38866	13754	16363	20921	32132	29973	17029	17539	28193	26697	21962	21524	10998	22800	23274	22010	5792	21549	13418	7384	9335	22467	6359	8206	42630	26289	5623	9180	23983	9873	12817	21665	12380	15599	18065	15432	17881	28795	32586	28794	14651	19499	29217	26676	16901
P07437	85268	158625	140976	93552	125062	102296	119680	94034	109038	44637	100558	184511	52508	101649	204599	257997	213149	151442	168136	118846	88237	114282	64976	113190	87415	101239	80399	77994	65789	81683	216314	172934	385417	292048	381743	182988	142654	86228	78505	129357	130931	83705	113811	98360	110777	89076	99457	41047	92200	188557	48095	89453	216612	234040	202576	150669	149744	95415	83286	114104	67431	105177	76627	96825	72396	66147	65215	72683	213505	149538	355352	279795	370244	171378	132718	80933
P07585	43032	452968	212843	66880	266445	159013	122220	19076	212458	18893	185515	1	301989	231463	110997	38220	1	1	15194	1	43169	1	22386	38548	33004	51375	42531	18692	70072	17631	86273	1	1	47821	1	256485	2350	47837	39383	410755	197906	59217	233316	139538	115752	8284	200382	18100	186931	1	273747	223161	106108	34943	1	1	40606	1	40395	1	21628	34618	32986	51492	44931	17727	69124	17062	83317	1	1	24362	1	248621	1	39944
P07686	16039	23650	18727	17648	18675	16071	21032	6849	14809	1	17651	13715	11249	24529	26626	12649	8441	33689	33925	18964	3585	18268	5869	1	5898	16559	5586	4632	13767	5383	39674	60485	57445	25165	15798	26597	70435	23906	13403	21890	17069	17178	18293	15913	19624	14327	14131	1	14998	27186	10327	22834	25903	11477	8897	29751	32303	18667	4306	17948	13465	1	12580	15922	5363	5285	12123	6028	40774	55029	53751	23109	14777	25834	63048	21034
P07737	190855	302260	321624	228940	339551	300883	264911	265797	299871	71608	316760	452380	256020	237132	386457	367711	448075	216030	482209	178537	124825	245700	132374	164439	193289	239709	182949	182695	156641	209574	276037	231456	433970	523226	325379	439902	490716	225561	168450	264441	300057	205218	305412	296014	260982	262729	292365	65287	288751	459230	273721	223629	399665	334767	429933	215648	475622	163480	114565	241598	121136	155935	190079	245180	175482	167543	142922	203086	276929	225037	415880	484437	323716	406003	464524	209867
P07738	40746	1	43570	29405	38101	25953	44986	40970	1	1	1	20766	1	12275	1	1	1	1	1	1	1	17139	17024	1	1	1	19462	1	18666	1	26702	1	1	24808	1	1	91023	13608	39386	1	1	1	29144	1	39658	37726	40925	1	29174	23182	1	1	23677	1	1	28822	1	1	1	17462	1	1	29046	15062	1	1	1	1	1	1	90319	26174	1	37283	1	13196
P07741	52022	33474	54053	47351	58719	35706	56015	59410	62004	1	57010	1	1	1	31847	1	4107	42471	33009	24105	1	88802	41631	1	46044	27436	33719	30298	34462	41372	64715	77630	45485	45442	21619	35654	78066	24417	45542	28588	50389	43253	52816	33692	54753	57063	58300	1	54128	1	1	1	30194	4854	3407	42653	31702	21099	1	81819	11898	1	42437	26610	33453	10780	31900	39761	65333	76567	43617	42804	18329	31580	68945	22167
P07814	1	5465	15010	11850	13869	8917	11946	13745	16049	1	6611	25117	1884	10821	16453	14107	4384	18194	17312	13264	1	15432	1	1	6744	8275	3638	1	4068	12639	20904	32517	27735	18245	27023	6419	26656	9708	19391	1	14082	9885	14278	1	10217	13595	13768	1	13972	23051	3904	10385	17947	13348	2504	18559	15281	11995	1	14503	4741	1	9305	1	2845	9663	14254	5302	19975	31408	27979	17536	23302	7158	22906	5601
P07858	10323	9372	17119	14762	20856	21697	20881	21920	31277	22125	23973	52561	19969	126387	20078	16158	16490	66613	51451	40932	33240	15595	9080	9843	13407	30461	14134	13602	14760	15933	13697	23686	9091	27688	9552	19701	16806	12752	9886	8422	17247	13336	17656	19541	16610	18744	29096	20494	19368	51685	18138	125178	19085	14280	15330	59414	49856	34854	31571	14720	7982	9539	12682	26990	12962	12587	13144	14212	12189	22442	10149	24025	9895	16846	16416	12533
P07900	56316	54208	69139	59012	62798	55609	63445	64162	62304	38574	64612	83986	16363	25810	45929	23607	32284	102968	99280	59239	58178	70877	37087	31922	41366	41482	38326	35250	40319	38859	120382	99829	172148	77610	67164	68735	177240	64568	50979	45574	65422	52133	61300	47093	59178	65465	58963	35662	62309	77805	15453	25379	44158	21047	29763	86211	85936	49932	56080	65795	34158	31442	40727	41478	38894	35024	38379	39973	123250	88656	168081	74115	61425	62446	172731	61380
P07902	14294	1	12324	17336	13441	4739	17938	20202	20275	1	31971	1	1	1	4900	1	1	21859	10694	5086	1	9724	10776	1	14385	1	8295	12392	11088	11779	13262	8725	20209	1	1	8881	30159	16548	11005	3509	13015	14357	10826	3839	18455	23407	19466	1	22188	5321	1	1	5390	1	1	23828	9950	1	1	10751	11242	1	13783	1	7876	12414	11707	11659	12313	10874	14623	1	1	7693	29602	14304
P07910	38919	53513	64167	47056	67851	29725	59391	44132	34250	1	56326	170933	31228	51719	97001	67227	56608	104418	116996	49693	1	66352	38515	1	31270	31245	21708	24857	31834	37581	146404	116943	218353	67854	102673	76084	265143	49621	37879	50288	59514	43830	62704	26300	58449	47515	43221	1	54432	190875	29199	54801	93655	66052	54497	95725	109669	48153	1	65384	37098	1	30787	31202	22691	21895	29459	25360	136498	107390	196311	62566	97054	71020	252532	45497
P07942	12429	20687	11975	1835	17114	11714	1	19590	18298	1	20708	17305	12664	5321	71720	11627	15225	8038	23134	2758	4789	22180	95171	1	15786	2476	11187	1	10076	14553	15569	11174	16660	19962	11291	12241	13872	2346	10634	18933	10264	8278	16324	10435	17480	16513	15897	2678	18936	6066	10990	4813	68089	9214	13222	14434	20612	26045	1	19029	9173	4273	1	14194	9602	12077	8178	1	15673	9607	13812	17347	11654	12267	14786	7587
P07947	1	1	1	1	1	1	1	1	1	312	571	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
P07951	4074	24162	7966	3278	14927	10096	5947	7557	4513	1	10940	9464	25438	7430	16593	17620	3021	9982	6226	4040	1	5685	3302	4357	3764	7798	2761	2814	3073	5500	15684	11581	21453	13580	12877	35659	11429	4869	3014	36266	11200	3639	11950	7806	4687	3557	4688	1	3611	9029	28370	8073	16819	17890	1	5429	10502	3611	1	5076	2842	1	3408	2786	2581	4988	6166	2914	14581	11104	21937	14057	11206	33654	5278	4584
P07954	76279	8523	71612	97904	77855	49128	99543	97398	92564	1	94794	59671	43702	40991	57522	8320	18126	71454	66589	91108	1	53891	88796	1	94337	48245	75415	79238	92220	97385	107663	57105	140682	41367	81324	52293	92295	58232	73039	10825	67014	89650	74804	48989	100757	95033	88624	6658	92243	56554	44087	40966	62157	1	7533	63257	62741	80832	1	49896	83574	1	90762	49374	76913	82008	86569	90722	113811	53580	124319	38993	77131	48393	86635	54672
P07996	17769	55117	29131	19081	32535	23613	20137	16019	23277	1	14306	12455	18142	35998	40193	28547	1	25189	34832	10739	1	11954	9681	1	10568	17440	10850	9553	11215	11109	67913	29894	38386	68747	22350	91876	27594	22451	11342	49469	27442	17549	25382	21155	17014	14279	25891	1	21464	10816	17615	33151	42418	25544	7884	22550	33005	9227	1	12767	1	1	11621	17974	9945	10265	10693	10747	66389	26123	38875	71521	21074	90518	26613	21659
P08107	48580	83191	85512	48929	72508	57734	58114	48286	66393	74269	86335	32576	25294	64297	40415	69317	74286	164582	155520	91955	123998	284920	31406	16664	31271	40082	29842	28358	35484	36241	163482	454960	96966	130298	71728	99347	173625	85401	47582	78048	79871	47516	59741	52396	53771	46493	65085	70961	91231	30403	24582	61883	40334	63446	63855	146335	145057	81737	115539	278243	27087	27818	31378	37961	30934	27260	32467	34307	148139	415597	101276	119782	72249	93716	175813	76223
P08123	103615	662594	328105	127237	228356	247638	190989	67328	191105	199188	152120	17514	106451	20631	188663	22895	3436	11191	251910	22475	208989	12253	14553	232324	23518	45368	64715	33866	33256	17049	208359	20870	21075	91160	41765	483313	15424	69933	92911	603805	293893	112113	194796	224084	171367	59739	180188	180127	144756	18324	101163	18508	180603	20519	3487	8761	230685	20980	171887	11768	14364	210857	20177	38424	56160	31535	29764	13816	192321	19025	19806	81567	36957	427624	13955	62765
P08133	202047	87143	129749	120190	153184	66066	215107	198599	169340	8472	193625	17517	29633	48507	41793	18921	24713	57119	39882	103798	12072	422367	176244	19468	192462	122519	121761	166913	162441	161648	126153	112600	53166	106318	30989	107668	30951	89731	181269	75009	115109	106599	135983	40112	190168	182037	151003	1	179067	17936	48009	47316	37170	14283	16183	79638	76144	86825	9863	427080	158826	15670	191931	55769	119450	153872	154579	157002	119966	100590	55010	104050	19906	86866	15493	51072
P08134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2454	1	1	10632	1	1	20575	1	1	1	1	1	1	2841	4352	1	1760	1	1	1244	1	1	2482	1	1	1	1213	1	1	1	15731	1	1	1	1	1	1	1	2867	1	1	10277	1887	1	1	1	1	1	1	1	1	1	4202	1	1630	1	2556	1	1
P08183	1	979	2425	1	1802	1	3225	1315	1187	1	1623	1	1	3809	1	1	1	4112	1289	1852	1	2527	878	1	1241	2117	1422	980	1343	1266	4660	2447	3577	7064	1806	1392	3270	852	1391	1757	1672	1134	1859	1	2528	1160	1	1	1913	1	1	4243	1	1	1	3601	1341	1701	1	2427	1	1	1137	877	1340	1	1	1317	1754	2061	3420	6589	1466	1	3033	1545
P08237	35700	49634	51062	51678	50550	35108	56329	45894	53469	1	50748	72946	69554	77718	77838	58557	1	199628	63103	75765	1	31189	44509	1	51386	34462	34417	43858	48218	34674	128774	113234	89779	65556	1	88883	50677	42215	30474	41758	46745	44090	44004	31881	47413	45636	44484	1	48224	69873	66610	74224	72686	1	1	194177	56168	67784	1	30976	41222	1	44612	1	31598	41597	45954	33489	117150	104837	73006	64819	1	94233	48441	38682
P08238	51347	53564	67018	54420	63380	50556	67431	60578	55471	27019	62385	78083	9179	35714	95938	44030	33721	153970	90425	62483	50750	117087	43150	31451	23700	47611	39380	37771	42974	41782	103789	274773	154149	155288	205264	60190	156360	58716	50077	45532	59617	49046	62250	46405	64481	54629	23495	27234	58361	78349	16387	33803	95954	37717	29625	139209	85624	50354	47453	107969	37399	30477	38825	46166	20621	16934	18789	46501	106674	255878	154407	144800	196825	58736	144488	57340
P08240	333909	1	1	1	1	1	1	1	1	1	1	155745	1	240929	1	262618	1	1	1	1	261774	1	1	1	1	254824	1	1	1	205399	1	1	1	199308	1	1	1	224676	1	1	1	1	1	1	295401	302700	1	348565	1	1	233877	214097	1	240618	1	1	1	1	216832	1	1	1	1	1	1	1	1	224548	1	1	1	1	189730	1	1	1
P08246	1	3564	1938	1	3147	3994	1	1	1	1	1	1	1	1	2687	1	3656	1	1	1	7896	1	1	1	1	2454	1	1	1	1	1	2660	1	5968	1	1	1	1	1	3274	1	1	2372	4018	1	1	1	1	1	1	1	1	2477	1	2472	1	1	1	7178	1	1	1	1	1	1	1	1	1	1	1659	1	6687	1	1	1	1
P08294	1	39037	6206	1	6922	4997	1	1159	7055	1	5125	1	24103	10024	8755	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12045	2584	1	56594	1	1	1	35919	4770	1	5538	4672	1	1	6412	1	5520	1	8919	4360	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2997	1	1	1	30436	1	1	56682	1	1
P08311	2304	28720	4387	3022	8229	5590	3203	1	6185	14283	5043	2817	14654	1	6026	1	69445	6211	4922	1	42246	1	1	14936	2866	6445	2810	2246	9732	2173	1	3128	1	19985	3713	3322	1	2736	1706	23661	3172	3046	13183	13179	3408	1	5100	11646	4821	2631	11695	1	6669	1	62395	1	4506	1	28508	1	1	2147	2506	3586	2223	1913	4022	1	1246	2740	1	19206	3945	2895	1	3233
P08493	1	8886	1	1	3789	2381	1	1	1	1	1	1	5149	3277	3482	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16679	1	1	1	7876	3433	1	3301	2068	1	1	1	1	1	1	5233	3324	3406	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2123	1	1	1	1	15688	1	1
P08559	12986	1	17390	16136	19462	13250	24796	19958	1	1	17567	1	1	4993	15093	1	4224	24034	24775	1	1	17143	13490	1	11077	9790	1	1	1	10202	37468	25743	54619	22425	18345	20414	48723	13537	12039	1	15386	14595	17054	11188	20474	18266	13395	1	14809	1	1	5253	12704	1	1	20191	17870	10282	1	18101	11724	1	9638	1	1	1	9282	9851	35050	20783	50288	18595	16297	17140	42472	13332
P08571	8909	10726	10699	10778	11317	5574	9189	8005	10417	1	9234	1	1	9036	5598	8213	7830	23613	12901	13497	1	1	8238	1	11853	11545	8912	1	1	8191	1	12119	1	9950	7904	23042	5437	4671	8469	8694	11397	10111	11067	5981	7820	1	9311	1	8206	1	1	9655	5883	7548	7004	23606	12290	12225	1	2919	9806	1	12610	10027	7574	1	13680	7238	12550	11145	1	9981	8935	22067	5983	4828
P08572	17877	166692	47263	30414	47719	40727	32252	13006	37722	7266	32907	23058	19047	7185	125270	18676	1	23602	60443	23147	15498	44570	1	26002	4337	13845	8467	7409	2708	3791	48599	39073	20136	44348	21324	109365	15338	54854	18074	149071	41704	28970	43063	36191	29041	12806	37034	5490	28100	25907	18785	7097	124521	16745	1495	22781	55930	22689	14296	46952	724	24480	1911	10567	4018	2859	1	3073	48169	35859	20263	43927	34473	99390	13017	49974
P08574	29711	3997	23688	29745	30321	23663	7841	23950	35914	1	22171	1	1	1	5306	1	1	33488	22010	30411	1	25541	1	4359	14873	19289	13678	1	15372	19432	57428	52120	38772	32336	74494	6541	49235	18307	25663	1	16918	20831	30259	22828	7510	26422	33014	1	31629	1	1	1	3969	1	1	26738	1	29974	1	32888	1	1	19746	6024	19611	1	1	6538	61071	48087	37190	36156	70833	5455	46884	18181
P08579	1	1	1	1578	2299	1	1	1450	1	6164	1	3423	1	1	2781	1754	1604	2967	3326	1	3911	1961	1	3811	1318	1059	1	1	1	1	3194	2705	5151	2966	3018	1	5305	1064	1	1939	1964	1	130	1	2173	1	1	1	1	3860	1	1	3093	1650	1417	3199	2917	1	4039	1988	1	1	1	1	1	363	1	1	3168	2607	5223	2221	2819	2272	5381	1
P08603	2582	1	6666	2667	6482	4354	1	1	1	1	1	1	1	5126	6978	3581	1	1	1	1	1	4119	1	1	1	5872	1	1	1	1	8828	2510	1	8151	4175	1	6251	3277	1	1	5226	1	5533	3817	1	1	1	1	1	1	2455	5201	6360	3171	1	1	1	1	1	3426	1	1	1	4015	1	1	1	1	8691	2225	1	8561	4656	1	5352	3272
